Vehicle Type,Route,One Way ($),Round Trip ($)
Executive Sedan,All WDW Disney Property Resorts,95,190
Executive Sedan,Universal Studios Area Hotels,95,190
Executive Sedan,International Drive Hotels,95,190
Executive Sedan,Disney Springs Hotels,95,190
Executive Sedan,Kissimmee 192 Area Hotels,105,210
Executive Sedan,Omni Championsgate / Reunion,125,245
SUV,All WDW Disney Property Resorts,140,280
SUV,Universal Studios Area Hotels,140,280
SUV,International Drive Hotels,140,280
SUV,Disney Springs Hotels,140,280
SUV,Kissimmee 192 Area Hotels,150,300
SUV,Omni Championsgate / Reunion,160,320
Mini Van,All WDW Disney Property Resorts,110,220
Mini Van,Universal Studios Area Hotels,110,220
Mini Van,International Drive Hotels,110,220
Mini Van,Disney Springs Hotels,110,220
Mini Van,Kissimmee 192 Area Hotels,120,240
Mini Van,Omni Championsgate / Reunion,130,260
Passenger Van,All WDW Disney Property Resorts,155,310
Passenger Van,Universal Studios Area Hotels,155,310
Passenger Van,International Drive Hotels,155,310
Passenger Van,Disney Springs Hotels,155,310
Passenger Van,Kissimmee 192 Area Hotels,165,330
Passenger Van,Omni Championsgate / Reunion,175,350
Executive Sedan,Port Canaveral (From Orlando Airport),155,310
SUV,Port Canaveral (From Orlando Airport),195,390
Mini Van,Port Canaveral (From Orlando Airport),175,350
Passenger Van,Port Canaveral (From Orlando Airport),225,450
