booking_month,days,legs_booked_per_day,lead_0_7,lead_8_21,lead_22_45,lead_46plus
2025-04,30,0.63,0.07,0.3,0.07,0.2
2025-05,31,2.39,0.55,0.9,0.48,0.45
2025-06,30,3.57,0.8,1.0,0.43,1.33
2025-07,31,13.1,2.71,2.77,2.81,4.81
2025-08,31,18.61,3.1,3.77,4.71,7.03
2025-09,30,25.03,3.97,6.8,5.93,8.33
2025-10,31,27.06,6.68,6.61,7.1,6.68
2025-11,30,31.47,9.47,9.47,6.8,5.73
2025-12,31,45.58,11.84,13.94,10.77,9.03
2026-01,31,78.94,13.1,18.94,21.61,25.29
2026-02,28,89.29,18.36,24.71,20.46,25.75
2026-03,31,100.03,21.35,27.77,23.39,27.52
2026-04,30,96.17,20.4,24.63,23.23,27.9
2026-05,31,84.19,17.97,23.97,18.48,23.77
2026-06,30,107.03,22.83,28.8,20.43,34.97
2026-07,31,164.1,24.81,35.52,30.23,73.55
2026-08,21,189.76,23.62,35.76,44.33,86.05
