min_seg,min_effect,n_segments,prior_start,prior_end,prior_days,prior_mean,current_start,current_end,current_days,current_mean,ratio
21,0.06,14,2026-04-13,2026-07-30,109,88.84,2026-07-31,2026-08-21,22,114.36,1.2872
21,0.08,14,2026-04-13,2026-07-30,109,88.84,2026-07-31,2026-08-21,22,114.36,1.2872
21,0.1,13,2026-03-19,2026-07-30,134,90.34,2026-07-31,2026-08-21,22,114.36,1.2659
21,0.15,12,2026-03-19,2026-07-30,134,90.34,2026-07-31,2026-08-21,22,114.36,1.2659
28,0.06,11,2026-03-19,2026-07-23,127,90.37,2026-07-24,2026-08-21,29,108.45,1.2
28,0.08,11,2026-03-19,2026-07-23,127,90.37,2026-07-24,2026-08-21,29,108.45,1.2
28,0.1,11,2026-03-19,2026-07-23,127,90.37,2026-07-24,2026-08-21,29,108.45,1.2
28,0.15,11,2026-03-19,2026-07-23,127,90.37,2026-07-24,2026-08-21,29,108.45,1.2
35,0.06,9,2026-03-19,2026-07-17,121,90.55,2026-07-18,2026-08-21,35,104.71,1.1564
35,0.08,9,2026-03-19,2026-07-17,121,90.55,2026-07-18,2026-08-21,35,104.71,1.1564
35,0.1,9,2026-03-19,2026-07-17,121,90.55,2026-07-18,2026-08-21,35,104.71,1.1564
35,0.15,9,2026-03-19,2026-07-17,121,90.55,2026-07-18,2026-08-21,35,104.71,1.1564
