date_utc,legstatus_rows,legstatus_users,reservation_rows,reservation_users,auditlog_rows,auditlog_users
2026-08-01,881,33,83,,2523,40
2026-08-02,787,28,101,,1963,32
2026-08-03,704,28,102,,2307,36
2026-08-04,598,25,131,,1930,41
2026-08-05,653,25,120,,2204,42
2026-08-06,598,30,83,,2095,34
2026-08-07,932,31,105,,2380,38
2026-08-08,922,30,89,,2613,38
2026-08-09,761,28,94,,1956,33
2026-08-10,661,27,119,,2095,39
2026-08-11,533,26,101,,2204,34
2026-08-12,591,29,120,,2170,40
2026-08-13,561,30,128,,2296,46
2026-08-14,722,29,118,,2455,45
2026-08-15,916,31,89,,3096,38
2026-08-16,821,33,83,,2436,40
2026-08-17,672,24,132,,2575,39
2026-08-18,466,29,128,,1727,41
2026-08-19,460,26,129,,1747,41
2026-08-20,558,29,130,,2144,43
2026-08-21,639,31,96,,2134,41
