pickup_month,legs_on_books,reservations,future_calendar_days,legs_per_day_booked,mean_days_ahead,implied_completeness,implied_final_legs_per_day
2026-08,1064,837,10,106.4,5.2,0.8495,125.3
2026-09,2700,1654,30,90.0,25.3,0.4283,210.1
2026-10,1757,1085,31,56.68,53.7,0.1898,
2026-11,950,595,30,31.67,84.8,0.0656,
2026-12,559,357,31,18.03,115.2,0.023,
2027-01,250,165,31,8.06,145.9,0.0171,
2027-02,115,78,28,4.11,177.1,0.0171,
2027-03,51,38,31,1.65,205.1,0.0171,
2027-04,39,24,30,1.3,236.6,0.0171,
2027-05,22,15,31,0.71,265.4,0.0171,
2027-06,19,10,30,0.63,298.1,0.0171,
2027-07,7,5,31,0.23,329.1,0.0171,
2027-08,4,3,31,0.13,363.0,0.0171,
2027-09,5,4,30,0.17,391.0,0.0171,
2027-10,5,4,31,0.16,418.8,0.0171,
2027-11,1,1,30,0.03,437.0,0.0171,
