table_column,rows_at_start,newest_at_start,rows_at_end,newest_at_end,moved
ghl_integration_ghlsynclog.created_at,60511,2026-08-21 22:41:26.442467,60511,2026-08-21 22:41:26.442467,0
ops_operationaltask.created_at,12961,2026-08-21 22:41:46.092545,12961,2026-08-21 22:41:46.092545,0
ops_staffactivity.created_at,110738,2026-08-21 22:16:58.599967,110738,2026-08-21 22:16:58.599967,0
reservations_auditlog.timestamp,260125,2026-08-21 22:17:09.646000,260125,2026-08-21 22:17:09.646000,0
reservations_driverlocation.timestamp,145756,2026-08-21 21:17:29.842392,145756,2026-08-21 21:17:29.842392,0
reservations_historicalleg.history_date,208508,2026-08-21 22:17:09.632898,208508,2026-08-21 22:17:09.632898,0
reservations_leg.dispatch_eta_evaluated_at,31568,2026-08-21 22:50:41.668654,31568,2026-08-21 22:50:41.668654,0
reservations_leg.driver_assigned_at,31568,2026-08-21 22:17:09.621530,31568,2026-08-21 22:17:09.621530,0
reservations_legstatus.timestamp,94404,2026-08-21 21:59:20.004385,94404,2026-08-21 21:59:20.004385,0
reservations_reservation.created_at,18132,2026-08-21 22:09:21.354220,18132,2026-08-21 22:09:21.354220,0
reservations_routedistancecache.created_at,4232,2026-08-21 19:58:32.888334,4232,2026-08-21 19:58:32.888334,0
