dimension,key,prior_per_day,current_per_day,delta_per_day,pct_of_growth
booking_source,google_ads,33.948,38.619,4.671,19.57
booking_source,direct,26.874,37.095,10.221,42.83
booking_source,meta_ads,15.859,20.095,4.236,17.75
booking_source,travel_agent,12.6,9.905,-2.695,-11.29
booking_source,bing_ads,0.726,5.0,4.274,17.91
booking_source,referral,0.104,1.0,0.896,3.76
booking_source,meta_organic,0.215,0.905,0.69,2.89
booking_source,chatgpt,0.148,0.81,0.661,2.77
travel_agent,None,77.763,103.524,25.761,107.96
travel_agent,279,0.193,0.571,0.379,1.59
travel_agent,43,0.111,0.381,0.27,1.13
travel_agent,488,0.022,0.381,0.359,1.5
travel_agent,1110,0.022,0.238,0.216,0.9
travel_agent,171,0.274,0.238,-0.036,-0.15
travel_agent,319,0.089,0.238,0.149,0.63
travel_agent,808,0.178,0.238,0.06,0.25
customer,14936,0.0,0.429,0.429,1.8
customer,14489,0.0,0.286,0.286,1.2
customer,11927,0.0,0.238,0.238,1.0
customer,13091,0.0,0.238,0.238,1.0
customer,16887,0.0,0.19,0.19,0.8
customer,13633,0.0,0.19,0.19,0.8
customer,14090,0.0,0.19,0.19,0.8
customer,14766,0.0,0.19,0.19,0.8
lane (bucketed),MCO>DISNEY,33.815,46.095,12.28,51.46
lane (bucketed),DISNEY>MCO,28.489,36.619,8.13,34.07
lane (bucketed),PORT>MCO,3.778,5.429,1.651,6.92
lane (bucketed),MCO>OTHER,4.889,5.429,0.54,2.26
lane (bucketed),MCO>UNIVERSAL,2.044,2.714,0.67,2.81
lane (bucketed),OTHER>MCO,2.993,2.667,-0.326,-1.37
lane (bucketed),MCO>PORT,1.407,1.905,0.497,2.08
lane (bucketed),UNIVERSAL>MCO,1.919,1.905,-0.014,-0.06
trip kind,ARRIVAL,44.178,58.19,14.013,58.72
trip kind,DEPARTURE,39.037,48.143,9.106,38.16
trip kind,OTHER,7.304,8.048,0.744,3.12
