hour,prior_share_pct,current_share_pct,delta_pp
3,0.671,0.3747,-0.2963
4,1.6285,1.4571,-0.1714
5,2.0458,2.0816,0.0358
6,3.3879,2.3314,-1.0565
7,5.18,4.0383,-1.1417
8,9.2308,8.826,-0.4048
9,12.9133,14.821,1.9077
10,9.2553,9.5337,0.2784
11,8.9935,10.0749,1.0815
12,7.2504,7.6187,0.3682
13,7.6923,7.3689,-0.3234
14,6.3011,5.5371,-0.7641
15,5.7038,4.746,-0.9577
16,4.8118,5.7036,0.8918
17,4.3372,4.4546,0.1175
18,3.1588,3.5387,0.38
19,2.3895,1.9983,-0.3912
20,1.6203,1.5404,-0.0799
21,1.1866,0.7494,-0.4372
22,0.9574,1.1241,0.1666
23,0.9493,1.7069,0.7576
