window,n,p10,p25,p50,p75,p90
prior plateau,12220,3.0,8.0,19.0,43.0,71.0
current regime,2402,3.0,8.0,18.0,36.0,66.0
2025-04,3,2.2,2.5,3.0,7.5,10.2
2025-05,38,1.0,4.2,9.0,13.0,15.6
2025-06,64,3.0,6.0,13.0,22.5,33.7
2025-07,148,1.0,3.0,7.0,16.0,42.9
2025-08,322,2.0,6.0,13.0,26.8,42.0
2025-09,464,4.0,8.0,19.0,33.0,51.0
2025-10,739,2.0,6.0,17.0,39.0,64.2
2025-11,1004,2.0,6.0,18.0,45.2,73.7
2025-12,1164,2.0,6.0,14.0,32.0,68.0
2026-01,1462,2.0,7.0,15.0,33.0,62.0
2026-02,1972,3.0,8.0,19.0,33.0,53.0
2026-03,2603,3.0,8.0,18.0,39.0,61.8
2026-04,2720,3.0,8.0,19.0,41.0,66.0
2026-05,2858,4.0,9.0,23.0,47.0,73.0
2026-06,2731,3.0,8.0,20.0,47.0,78.0
2026-07,2714,2.3,7.0,16.0,35.8,69.7
2026-08,2402,3.0,8.0,18.0,36.0,66.0
