pickup_month,live_legs,reservations,legs_per_reservation,distinct_customers
2025-04,3,3,1.0,3
2025-05,38,28,1.3571,27
2025-06,64,47,1.3617,42
2025-07,148,102,1.451,98
2025-08,322,213,1.5117,202
2025-09,464,290,1.6,277
2025-10,739,451,1.6386,441
2025-11,1004,648,1.5494,608
2025-12,1164,775,1.5019,728
2026-01,1462,964,1.5166,914
2026-02,1972,1273,1.5491,1224
2026-03,2603,1695,1.5357,1634
2026-04,2720,1796,1.5145,1728
2026-05,2858,1853,1.5424,1791
2026-06,2731,1753,1.5579,1702
2026-07,2714,1805,1.5036,1748
2026-08,2402,1627,1.4763,1588
