pickup_month,live_legs,legs_with_driver,legs_with_any_tap,legs_full_ladder,dva_rows
2025-04,3,3,0,0,0
2025-05,38,36,0,0,0
2025-06,64,62,0,0,0
2025-07,148,146,1,0,0
2025-08,322,315,4,0,2
2025-09,464,455,2,0,0
2025-10,739,734,5,0,3
2025-11,1004,995,41,0,0
2025-12,1164,1131,70,0,0
2026-01,1462,1455,33,0,98
2026-02,1972,1965,1561,1094,236
2026-03,2603,2600,2597,1816,304
2026-04,2720,2720,2611,1945,351
2026-05,2858,2856,2744,2245,388
2026-06,2731,2730,2648,2331,405
2026-07,2714,2713,2689,2200,442
2026-08,2280,2280,2280,1931,361
