pickup_month,all_legs,live_legs,cancel_rate_pct,in_progress,completed
2025-04,3,3,0.0,0,3
2025-05,38,38,0.0,0,37
2025-06,64,64,0.0,2,61
2025-07,149,148,0.671,3,146
2025-08,322,322,0.0,1,319
2025-09,464,464,0.0,2,462
2025-10,740,739,0.135,2,738
2025-11,1004,1004,0.0,2,996
2025-12,1164,1164,0.0,13,1148
2026-01,1480,1462,1.216,20,1456
2026-02,1999,1972,1.351,22,1970
2026-03,2707,2603,3.842,37,2583
2026-04,2808,2720,3.134,144,2567
2026-05,2914,2858,1.922,166,2690
2026-06,2799,2731,2.429,138,2593
2026-07,2797,2714,2.967,60,2613
2026-08,2462,2402,2.437,12,2325
