date,trailing_28d_mean_legs_per_day
2025-05-23,1.04
2025-05-30,1.36
2025-06-06,1.57
2025-06-13,2.0
2025-06-20,1.96
2025-06-27,1.89
2025-07-04,2.46
2025-07-11,2.71
2025-07-18,3.54
2025-07-25,4.54
2025-08-01,5.21
2025-08-08,6.11
2025-08-15,7.89
2025-08-22,9.39
2025-08-29,10.18
2025-09-05,10.82
2025-09-12,11.14
2025-09-19,12.39
2025-09-26,14.68
2025-10-03,17.11
2025-10-10,21.21
2025-10-17,23.18
2025-10-24,23.75
2025-10-31,24.18
2025-11-07,23.64
2025-11-14,25.04
2025-11-21,28.32
2025-11-28,31.86
2025-12-05,34.64
2025-12-12,36.79
2025-12-19,36.79
2025-12-26,36.57
2026-01-02,39.07
2026-01-09,38.89
2026-01-16,41.61
2026-01-23,46.46
2026-01-30,46.32
2026-02-06,51.21
2026-02-13,56.96
2026-02-20,62.21
2026-02-27,69.29
2026-03-06,74.5
2026-03-13,77.61
2026-03-20,80.18
2026-03-27,82.82
2026-04-03,88.93
2026-04-10,91.82
2026-04-17,92.04
2026-04-24,91.25
2026-05-01,88.93
2026-05-08,88.93
2026-05-15,89.21
2026-05-22,91.11
2026-05-29,90.04
2026-06-05,88.79
2026-06-12,90.64
2026-06-19,91.32
2026-06-26,91.93
2026-07-03,93.71
2026-07-10,90.54
2026-07-17,88.86
2026-07-24,88.11
2026-07-31,87.5
2026-08-07,95.71
2026-08-14,102.75
2026-08-21,108.79
