window,K_days_ahead,days,peak_final,peak_at_K,mean_deficit,p75_deficit,p90_deficit,pct_days_short,pct_days_short_2plus
prior plateau,0,135,16.104,16.104,0.0,0.0,0.0,0.0,0.0
prior plateau,7,135,16.104,13.326,2.778,4.0,5.0,91.11,75.56
prior plateau,14,135,16.104,10.852,5.252,7.0,8.0,100.0,96.3
prior plateau,21,135,16.104,8.993,7.111,9.0,11.0,100.0,100.0
prior plateau,28,135,16.104,7.607,8.496,11.0,13.0,100.0,100.0
current regime,0,21,20.905,20.905,0.0,0.0,0.0,0.0,0.0
current regime,7,21,20.905,17.333,3.571,4.0,5.0,95.24,90.48
current regime,14,21,20.905,13.476,7.429,9.0,11.0,100.0,100.0
current regime,21,21,20.905,11.0,9.905,12.0,12.0,100.0,100.0
current regime,28,21,20.905,9.143,11.762,13.0,15.0,100.0,100.0
