window,duration_minutes,K_days_ahead,days,peak_final,peak_at_K,mean_deficit,p75_deficit,p90_deficit,pct_days_short
prior,60,0,135,16.341,16.341,0.0,0.0,0.0,0.0
prior,60,7,135,16.341,13.785,2.556,4.0,5.0,90.37
prior,60,14,135,16.341,11.007,5.333,7.0,8.0,100.0
prior,60,21,135,16.341,9.141,7.2,9.0,11.0,100.0
prior,60,28,135,16.341,7.726,8.615,10.0,13.0,100.0
prior,75,0,135,18.393,18.393,0.0,0.0,0.0,0.0
prior,75,7,135,18.393,15.43,2.963,4.0,6.0,90.37
prior,75,14,135,18.393,12.281,6.111,8.0,9.0,100.0
prior,75,21,135,18.393,10.104,8.289,10.0,12.600000000000009,100.0
prior,75,28,135,18.393,8.556,9.837,12.0,15.0,100.0
prior,90,0,135,20.919,20.919,0.0,0.0,0.0,0.0
prior,90,7,135,20.919,17.541,3.378,5.0,6.0,93.33
prior,90,14,135,20.919,13.904,7.015,9.0,11.0,100.0
prior,90,21,135,20.919,11.437,9.481,11.0,14.600000000000009,100.0
prior,90,28,135,20.919,9.622,11.296,13.5,18.0,100.0
prior,120,0,135,25.237,25.237,0.0,0.0,0.0,0.0
prior,120,7,135,25.237,21.037,4.2,5.0,8.0,97.78
prior,120,14,135,25.237,16.57,8.667,11.0,13.0,100.0
prior,120,21,135,25.237,13.6,11.637,14.0,17.60000000000001,100.0
prior,120,28,135,25.237,11.415,13.822,17.0,21.0,100.0
current,60,0,21,21.524,21.524,0.0,0.0,0.0,0.0
current,60,7,21,21.524,18.19,3.333,4.0,5.0,100.0
current,60,14,21,21.524,14.857,6.667,7.0,9.0,100.0
current,60,21,21,21.524,11.476,10.048,11.0,12.0,100.0
current,60,28,21,21.524,9.476,12.048,13.0,16.0,100.0
current,75,0,21,24.19,24.19,0.0,0.0,0.0,0.0
current,75,7,21,24.19,20.571,3.619,4.0,5.0,100.0
current,75,14,21,24.19,16.524,7.667,9.0,10.0,100.0
current,75,21,21,24.19,12.714,11.476,13.0,14.0,100.0
current,75,28,21,24.19,10.429,13.762,16.0,17.0,100.0
current,90,0,21,27.429,27.429,0.0,0.0,0.0,0.0
current,90,7,21,27.429,23.19,4.238,5.0,6.0,100.0
current,90,14,21,27.429,18.333,9.095,11.0,13.0,100.0
current,90,21,21,27.429,14.095,13.333,15.0,16.0,100.0
current,90,28,21,27.429,11.524,15.905,18.0,19.0,100.0
current,120,0,21,33.381,33.381,0.0,0.0,0.0,0.0
current,120,7,21,33.381,28.095,5.286,7.0,8.0,100.0
current,120,14,21,33.381,22.0,11.381,14.0,15.0,100.0
current,120,21,21,33.381,17.048,16.333,18.0,20.0,100.0
current,120,28,21,33.381,13.762,19.619,22.0,23.0,100.0
