days_before_pickup,share_of_final_demand_booked,p25_day,p75_day,n_days,prior_regime,current_regime
0,1.0,1.0,1.0,155,1.0,1.0
1,0.98503,0.976,0.99342,155,0.9857,0.98246
2,0.93803,0.91632,0.9584,155,0.93827,0.93713
3,0.90395,0.87705,0.92793,155,0.90427,0.90271
5,0.8475,0.81438,0.87884,155,0.85048,0.8362
7,0.78857,0.74661,0.8252,155,0.79076,0.78028
10,0.69963,0.64335,0.74389,155,0.70514,0.67869
14,0.59695,0.53709,0.64537,155,0.60497,0.56651
21,0.47171,0.41603,0.5171,155,0.48352,0.42687
30,0.35978,0.30957,0.40213,155,0.3735,0.30774
45,0.22819,0.18119,0.26112,155,0.23967,0.18465
60,0.1485,0.11457,0.17278,155,0.1565,0.11813
90,0.05444,0.03151,0.0683,155,0.05344,0.05824
