hour,legs,share,arrival,departure,other
0,3,0.00095,3,0,0
1,4,0.00127,4,0,0
2,2,0.00064,1,1,0
3,16,0.00509,1,15,0
4,48,0.01526,0,47,1
5,67,0.0213,3,63,1
6,85,0.02703,8,75,2
7,128,0.0407,20,100,8
8,265,0.08426,98,136,31
9,471,0.14976,206,204,61
10,304,0.09666,176,93,35
11,309,0.09825,182,89,38
12,235,0.07472,138,84,13
13,229,0.07281,122,101,6
14,172,0.05469,97,71,4
15,151,0.04801,79,66,6
16,182,0.05787,96,81,5
17,143,0.04547,81,60,2
18,105,0.03339,67,34,4
19,72,0.02289,60,9,3
20,48,0.01526,48,0,0
21,27,0.00859,22,0,5
22,34,0.01081,30,0,4
23,45,0.01431,44,0,1
