iso_week,legs,share_lt_24h,share_lt_48h,share_lt_7d,median_lead_days,week_complete,in_pooled_window
2025-W28,30,0.13333,0.3,0.5,7.71,1,0
2025-W29,37,0.05405,0.16216,0.43243,9.07,1,0
2025-W30,38,0.05263,0.10526,0.55263,5.87,1,0
2025-W31,57,0.05263,0.19298,0.40351,8.8,1,0
2025-W32,58,0.01724,0.08621,0.2931,10.72,1,0
2025-W33,88,0.02273,0.07955,0.22727,16.73,1,0
2025-W34,75,0.06667,0.12,0.29333,13.08,1,0
2025-W35,64,0.09375,0.125,0.35938,13.73,1,0
2025-W36,83,0.0,0.0241,0.21687,16.81,1,0
2025-W37,109,0.02752,0.05505,0.22018,17.92,1,0
2025-W38,120,0.01667,0.04167,0.19167,20.38,1,0
2025-W39,126,0.03175,0.05556,0.23016,18.25,1,0
2025-W40,169,0.02959,0.08876,0.2426,17.98,1,0
2025-W41,180,0.07778,0.10556,0.25556,17.46,1,0
2025-W42,181,0.03315,0.08287,0.27624,16.56,1,0
2025-W43,141,0.07092,0.12057,0.29078,17.89,1,0
2025-W44,156,0.05128,0.11538,0.28205,20.62,1,0
2025-W45,209,0.04306,0.10048,0.25837,19.09,1,0
2025-W46,222,0.07658,0.13063,0.27477,15.69,1,0
2025-W47,238,0.06723,0.12605,0.28571,20.86,1,0
2025-W48,271,0.04797,0.07011,0.26937,17.8,1,0
2025-W49,265,0.07547,0.12075,0.31698,14.84,1,0
2025-W50,258,0.03876,0.06977,0.21705,17.25,1,0
2025-W51,216,0.06019,0.11111,0.25926,14.68,1,0
2025-W52,293,0.08874,0.13311,0.31399,12.71,1,0
2026-W01,317,0.06625,0.13565,0.32177,12.6,1,0
2026-W02,270,0.06667,0.12222,0.29259,14.35,1,0
2026-W03,347,0.04899,0.08069,0.2536,14.91,1,0
2026-W04,361,0.05817,0.09695,0.26316,14.67,1,0
2026-W05,373,0.05362,0.10724,0.23592,17.85,1,0
2026-W06,427,0.0445,0.0726,0.22951,19.69,1,0
2026-W07,496,0.04637,0.08871,0.22581,19.93,1,0
2026-W08,570,0.03158,0.07193,0.23684,18.19,1,0
2026-W09,496,0.04234,0.08871,0.24798,16.92,1,0
2026-W10,572,0.04895,0.09615,0.25699,16.12,1,0
2026-W11,566,0.04064,0.0689,0.24382,17.72,1,0
2026-W12,613,0.04241,0.0832,0.23002,17.7,1,0
2026-W13,646,0.0418,0.08204,0.23065,19.75,1,1
2026-W14,669,0.05979,0.11061,0.26308,17.91,1,1
2026-W15,665,0.04962,0.09323,0.23008,17.78,1,1
2026-W16,557,0.05027,0.08618,0.22262,18.85,1,1
2026-W17,642,0.02804,0.0514,0.20093,23.89,1,1
2026-W18,664,0.03163,0.08133,0.21084,21.92,1,1
2026-W19,639,0.03286,0.0579,0.20031,23.98,1,1
2026-W20,609,0.03941,0.0624,0.1954,24.02,1,1
2026-W21,592,0.03716,0.07939,0.22973,19.1,1,1
2026-W22,649,0.02773,0.07242,0.18336,22.85,1,1
2026-W23,639,0.05321,0.08764,0.23787,21.56,1,1
2026-W24,669,0.04335,0.09567,0.25859,18.85,1,1
2026-W25,628,0.05414,0.09554,0.21338,18.55,1,1
2026-W26,652,0.05215,0.09202,0.2454,19.14,1,1
2026-W27,602,0.04485,0.08638,0.28239,15.74,1,1
2026-W28,628,0.05892,0.1035,0.26433,15.94,1,1
2026-W29,599,0.04508,0.08013,0.22871,16.17,1,1
2026-W30,631,0.03328,0.08241,0.25357,14.93,1,1
2026-W31,687,0.05386,0.10626,0.28239,14.29,1,1
2026-W32,815,0.04908,0.09202,0.25644,15.08,1,1
2026-W33,814,0.03563,0.05651,0.19165,18.34,1,1
2026-W34,356,0.03652,0.0927,0.20787,20.69,0,1
