start,end,days,legs_per_day,legs,step_vs_prior
2025-04-26,2025-05-23,28,1.036,29,
2025-05-24,2025-06-27,35,1.857,65,+79.3%
2025-06-28,2025-07-31,34,4.676,159,+151.8%
2025-08-01,2025-09-03,34,10.324,351,+120.8%
2025-09-04,2025-10-01,28,16.143,452,+56.4%
2025-10-02,2025-11-05,35,24.4,854,+51.2%
2025-11-06,2025-12-25,50,34.64,1732,+42.0%
2025-12-26,2026-02-05,42,48.0,2016,+38.6%
2026-02-06,2026-03-18,41,76.293,3128,+58.9%
2026-03-19,2026-07-23,127,90.37,11477,+18.5%
2026-07-24,2026-08-21,29,108.448,3145,+20.0%
