iso_week,first_day,last_day,days,legs,legs_per_day,week_complete
2025-W17,2025-04-26,2025-04-27,2,2,1.0,0
2025-W18,2025-04-28,2025-05-04,7,3,0.43,1
2025-W19,2025-05-05,2025-05-11,7,7,1.0,1
2025-W20,2025-05-12,2025-05-18,7,6,0.86,1
2025-W21,2025-05-19,2025-05-25,7,15,2.14,1
2025-W22,2025-05-26,2025-06-01,7,11,1.57,1
2025-W23,2025-06-02,2025-06-08,7,15,2.14,1
2025-W24,2025-06-09,2025-06-15,7,17,2.43,1
2025-W25,2025-06-16,2025-06-22,7,15,2.14,1
2025-W26,2025-06-23,2025-06-29,7,11,1.57,1
2025-W27,2025-06-30,2025-07-06,7,26,3.71,1
2025-W28,2025-07-07,2025-07-13,7,30,4.29,1
2025-W29,2025-07-14,2025-07-20,7,37,5.29,1
2025-W30,2025-07-21,2025-07-27,7,38,5.43,1
2025-W31,2025-07-28,2025-08-03,7,57,8.14,1
2025-W32,2025-08-04,2025-08-10,7,58,8.29,1
2025-W33,2025-08-11,2025-08-17,7,88,12.57,1
2025-W34,2025-08-18,2025-08-24,7,75,10.71,1
2025-W35,2025-08-25,2025-08-31,7,64,9.14,1
2025-W36,2025-09-01,2025-09-07,7,83,11.86,1
2025-W37,2025-09-08,2025-09-14,7,109,15.57,1
2025-W38,2025-09-15,2025-09-21,7,120,17.14,1
2025-W39,2025-09-22,2025-09-28,7,127,18.14,1
2025-W40,2025-09-29,2025-10-05,7,169,24.14,1
2025-W41,2025-10-06,2025-10-12,7,181,25.86,1
2025-W42,2025-10-13,2025-10-19,7,181,25.86,1
2025-W43,2025-10-20,2025-10-26,7,141,20.14,1
2025-W44,2025-10-27,2025-11-02,7,156,22.29,1
2025-W45,2025-11-03,2025-11-09,7,209,29.86,1
2025-W46,2025-11-10,2025-11-16,7,222,31.71,1
2025-W47,2025-11-17,2025-11-23,7,238,34.0,1
2025-W48,2025-11-24,2025-11-30,7,271,38.71,1
2025-W49,2025-12-01,2025-12-07,7,265,37.86,1
2025-W50,2025-12-08,2025-12-14,7,259,37.0,1
2025-W51,2025-12-15,2025-12-21,7,216,30.86,1
2025-W52,2025-12-22,2025-12-28,7,293,41.86,1
2026-W01,2025-12-29,2026-01-04,7,318,45.43,1
2026-W02,2026-01-05,2026-01-11,7,270,38.57,1
2026-W03,2026-01-12,2026-01-18,7,347,49.57,1
2026-W04,2026-01-19,2026-01-25,7,361,51.57,1
2026-W05,2026-01-26,2026-02-01,7,373,53.29,1
2026-W06,2026-02-02,2026-02-08,7,427,61.0,1
2026-W07,2026-02-09,2026-02-15,7,496,70.86,1
2026-W08,2026-02-16,2026-02-22,7,571,81.57,1
2026-W09,2026-02-23,2026-03-01,7,496,70.86,1
2026-W10,2026-03-02,2026-03-08,7,572,81.71,1
2026-W11,2026-03-09,2026-03-15,7,566,80.86,1
2026-W12,2026-03-16,2026-03-22,7,615,87.86,1
2026-W13,2026-03-23,2026-03-29,7,646,92.29,1
2026-W14,2026-03-30,2026-04-05,7,669,95.57,1
2026-W15,2026-04-06,2026-04-12,7,666,95.14,1
2026-W16,2026-04-13,2026-04-19,7,557,79.57,1
2026-W17,2026-04-20,2026-04-26,7,642,91.71,1
2026-W18,2026-04-27,2026-05-03,7,664,94.86,1
2026-W19,2026-05-04,2026-05-10,7,639,91.29,1
2026-W20,2026-05-11,2026-05-17,7,609,87.0,1
2026-W21,2026-05-18,2026-05-24,7,592,84.57,1
2026-W22,2026-05-25,2026-05-31,7,650,92.86,1
2026-W23,2026-06-01,2026-06-07,7,639,91.29,1
2026-W24,2026-06-08,2026-06-14,7,669,95.57,1
2026-W25,2026-06-15,2026-06-21,7,628,89.71,1
2026-W26,2026-06-22,2026-06-28,7,652,93.14,1
2026-W27,2026-06-29,2026-07-05,7,603,86.14,1
2026-W28,2026-07-06,2026-07-12,7,629,89.86,1
2026-W29,2026-07-13,2026-07-19,7,601,85.86,1
2026-W30,2026-07-20,2026-07-26,7,631,90.14,1
2026-W31,2026-07-27,2026-08-02,7,687,98.14,1
2026-W32,2026-08-03,2026-08-09,7,816,116.57,1
2026-W33,2026-08-10,2026-08-16,7,814,116.29,1
2026-W34,2026-08-17,2026-08-21,5,478,95.6,0
