month,legs_live,n_Mon,n_Tue,n_Wed,n_Thu,n_Fri,n_Sat,n_Sun,pct_Mon,pct_Tue,pct_Wed,pct_Thu,pct_Fri,pct_Sat,pct_Sun,peak_trough_ratio
2025-09,464,72,53,42,48,56,109,84,15.52,11.42,9.05,10.34,12.07,23.49,18.10,2.595
2025-10,739,97,61,84,128,111,149,109,13.13,8.25,11.37,17.32,15.02,20.16,14.75,2.443
2025-11,1004,100,112,108,98,150,233,203,9.96,11.16,10.76,9.76,14.94,23.21,20.22,1.902
2025-12,1164,184,140,147,130,172,219,172,15.81,12.03,12.63,11.17,14.78,18.81,14.78,1.955
2026-01,1462,182,140,144,198,274,327,197,12.45,9.58,9.85,13.54,18.74,22.37,13.47,1.869
2026-02,1972,225,181,217,245,308,435,361,11.41,9.18,11.00,12.42,15.62,22.06,18.31,2.403
2026-03,2603,331,252,270,300,377,521,552,12.72,9.68,10.37,11.53,14.48,20.02,21.21,2.584
2026-04,2720,340,201,332,422,475,499,451,12.50,7.39,12.21,15.51,17.46,18.35,16.58,2.483
2026-05,2858,329,229,283,293,474,677,573,11.51,8.01,9.90,10.25,16.59,23.69,20.05,2.365
2026-06,2731,378,314,303,269,429,527,511,13.84,11.50,11.09,9.85,15.71,19.30,18.71,2.098
2026-07,2177,243,210,300,282,357,396,389,11.16,9.65,13.78,12.95,16.40,18.19,17.87,1.886
2026-08,836,112,92,79,88,103,222,140,13.40,11.00,9.45,10.53,12.32,26.56,16.75,2.810
