pickup_date,days_past_freeze,modeled_completeness,observed_live_legs,implied_true_legs,june_same_dow_mean
2026-07-12,1,0.9800,113,115.3,127.75
2026-07-13,2,0.9388,78,83.1,75.60
2026-07-14,3,0.9081,58,63.9,62.80
2026-07-15,4,0.8804,67,76.1,75.75
2026-07-16,5,0.8560,55,64.3,67.25
2026-07-17,6,0.8254,67,81.2,107.25
2026-07-18,7,0.7933,118,148.7,131.75
2026-07-19,8,0.7629,81,106.2,127.75
2026-07-20,9,0.7340,54,73.6,75.60
2026-07-21,10,0.7083,43,60.7,62.80
2026-07-22,11,0.6807,60,88.1,75.75
2026-07-23,12,0.6551,38,58.0,67.25
2026-07-24,13,0.6336,50,78.9,107.25
2026-07-25,14,0.6102,73,119.6,131.75
2026-07-26,15,0.5919,72,121.6,127.75
2026-07-27,16,0.5724,35,61.1,75.60
2026-07-28,17,0.5549,30,54.1,62.80
2026-07-29,18,0.5375,36,67.0,75.75
2026-07-30,19,0.5182,35,67.5,67.25
2026-07-31,20,0.5017,45,89.7,107.25
2026-08-01,21,0.4865,92,189.1,131.75
2026-08-02,22,0.4718,47,99.6,127.75
2026-08-03,23,0.4592,38,82.8,75.60
2026-08-04,24,0.4460,30,67.3,62.80
2026-08-05,25,0.4319,36,83.4,75.75
2026-08-06,26,0.4179,42,100.5,67.25
2026-08-07,27,0.4050,48,118.5,107.25
2026-08-08,28,0.3931,70,178.1,131.75
2026-08-09,29,0.3824,40,104.6,127.75
2026-08-10,30,0.3700,37,100.0,75.60
2026-08-11,31,0.3560,27,75.8,62.80
2026-08-12,32,0.3454,25,72.4,75.75
2026-08-13,33,0.3331,27,81.1,67.25
2026-08-14,34,0.3222,27,83.8,107.25
2026-08-15,35,0.3117,60,192.5,131.75
2026-08-16,36,0.3017,53,175.7,127.75
2026-08-17,37,0.2925,37,126.5,75.60
2026-08-18,38,0.2833,35,123.6,62.80
2026-08-19,39,0.2721,18,66.2,75.75
2026-08-20,40,0.2636,19,72.1,67.25
2026-08-21,41,0.2573,28,108.8,107.25
