iso_week,week_start,legs_all,legs_live,legs_live_excl_analytics_flag,truncated_by_freeze
2025-W36,2025-09-01,83,83,83,0
2025-W37,2025-09-08,109,109,109,0
2025-W38,2025-09-15,120,120,120,0
2025-W39,2025-09-22,127,127,127,0
2025-W40,2025-09-29,169,169,169,0
2025-W41,2025-10-06,181,181,181,0
2025-W42,2025-10-13,181,181,181,0
2025-W43,2025-10-20,142,141,141,0
2025-W44,2025-10-27,156,156,156,0
2025-W45,2025-11-03,209,209,209,0
2025-W46,2025-11-10,222,222,222,0
2025-W47,2025-11-17,238,238,238,0
2025-W48,2025-11-24,271,271,271,0
2025-W49,2025-12-01,265,265,265,0
2025-W50,2025-12-08,259,259,259,0
2025-W51,2025-12-15,216,216,216,0
2025-W52,2025-12-22,293,293,293,0
2026-W01,2025-12-29,318,318,318,0
2026-W02,2026-01-05,271,270,270,0
2026-W03,2026-01-12,349,347,347,0
2026-W04,2026-01-19,370,361,361,0
2026-W05,2026-01-26,380,373,373,0
2026-W06,2026-02-02,436,427,427,0
2026-W07,2026-02-09,500,496,488,0
2026-W08,2026-02-16,578,571,555,0
2026-W09,2026-02-23,502,496,495,0
2026-W10,2026-03-02,586,572,571,0
2026-W11,2026-03-09,583,566,565,0
2026-W12,2026-03-16,658,615,613,0
2026-W13,2026-03-23,672,646,644,0
2026-W14,2026-03-30,690,669,669,0
2026-W15,2026-04-06,685,666,666,0
2026-W16,2026-04-13,581,557,557,0
2026-W17,2026-04-20,662,642,642,0
2026-W18,2026-04-27,676,664,664,0
2026-W19,2026-05-04,656,639,639,0
2026-W20,2026-05-11,621,609,609,0
2026-W21,2026-05-18,603,592,592,0
2026-W22,2026-05-25,662,650,650,0
2026-W23,2026-06-01,649,639,639,0
2026-W24,2026-06-08,680,669,669,0
2026-W25,2026-06-15,644,628,628,0
2026-W26,2026-06-22,676,652,652,0
2026-W27,2026-06-29,622,603,603,0
2026-W28,2026-07-06,632,622,622,1
2026-W29,2026-07-13,535,524,524,1
2026-W30,2026-07-20,401,390,390,1
2026-W31,2026-07-27,325,320,320,1
2026-W32,2026-08-03,310,304,304,1
2026-W33,2026-08-10,258,256,256,1
2026-W34,2026-08-17,138,137,137,1
