week_start,legs,full3,full3_pct
2026-02-02,57,12,21.05
2026-02-09,140,81,57.86
2026-02-16,169,103,60.95
2026-02-23,124,76,61.29
2026-03-02,173,111,64.16
2026-03-09,156,79,50.64
2026-03-16,172,99,57.56
2026-03-23,167,70,41.92
2026-03-30,175,80,45.71
2026-04-06,169,88,52.07
2026-04-13,94,62,65.96
2026-04-20,148,75,50.68
2026-04-27,176,92,52.27
2026-05-04,150,81,54.0
2026-05-11,122,60,49.18
2026-05-18,76,34,44.74
2026-05-25,123,71,57.72
2026-06-01,117,62,52.99
2026-06-08,92,49,53.26
2026-06-15,76,32,42.11
2026-06-22,94,43,45.74
2026-06-29,73,29,39.73
2026-07-06,72,26,36.11
2026-07-13,73,44,60.27
2026-07-20,100,52,52.0
2026-07-27,131,101,77.1
2026-08-03,190,130,68.42
2026-08-10,134,114,85.07
2026-08-17,35,28,80.0
