month,arm,legs,confirmed,on_the_way,on_location,picked_up,completed,full3,full5,chain,full3_pct,full5_pct,chain_pct
2026-02,ALL,1646,1467,1271,1238,1336,1547,1205,1094,1039,73.21,66.46,63.12
2026-03,ALL,2603,2495,1949,1998,2113,2581,1876,1816,1566,72.07,69.77,60.16
2026-04,ALL,2720,2582,2066,2085,2207,2568,1999,1945,1569,73.49,71.51,57.68
2026-05,ALL,2858,2732,2337,2362,2419,2691,2283,2245,1703,79.88,78.55,59.59
2026-06,ALL,2731,2638,2423,2405,2438,2596,2367,2331,1563,86.67,85.35,57.23
2026-07,ALL,2714,2684,2332,2286,2370,2613,2264,2200,1676,83.42,81.06,61.75
2026-08,ALL,2280,2276,2059,2023,2093,2218,2007,1931,1402,88.03,84.69,61.49
2026-02,inhouse,1187,1076,981,971,1032,1124,953,878,829,80.29,73.97,69.84
2026-03,inhouse,1883,1871,1520,1550,1626,1866,1491,1455,1259,79.18,77.27,66.86
2026-04,inhouse,2105,2091,1703,1726,1818,2096,1672,1649,1309,79.43,78.34,62.19
2026-05,inhouse,2252,2246,1992,2011,2031,2250,1970,1955,1453,87.48,86.81,64.52
2026-06,inhouse,2346,2342,2215,2198,2225,2341,2178,2154,1401,92.84,91.82,59.72
2026-07,inhouse,2355,2355,2128,2077,2145,2351,2079,2031,1543,88.28,86.24,65.52
2026-08,inhouse,1835,1835,1700,1664,1723,1825,1670,1612,1228,91.01,87.85,66.92
2026-02,affiliate,455,387,290,267,304,422,252,216,210,55.38,47.47,46.15
2026-03,affiliate,717,621,427,446,486,714,384,360,306,53.56,50.21,42.68
2026-04,affiliate,615,491,363,359,389,472,327,296,260,53.17,48.13,42.28
2026-05,affiliate,604,484,343,349,386,439,311,288,249,51.49,47.68,41.23
2026-06,affiliate,384,295,207,206,212,254,188,176,162,48.96,45.83,42.19
2026-07,affiliate,358,328,204,209,225,262,185,169,133,51.68,47.21,37.15
2026-08,affiliate,445,441,359,359,370,393,337,319,174,75.73,71.69,39.1
2026-02,unassigned,4,4,0,0,0,1,0,0,0,0.0,0.0,0.0
2026-03,unassigned,3,3,2,2,1,1,1,1,1,33.33,33.33,33.33
2026-05,unassigned,2,2,2,2,2,2,2,2,1,100.0,100.0,50.0
2026-06,unassigned,1,1,1,1,1,1,1,1,0,100.0,100.0,0.0
2026-07,unassigned,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0
