day,transition,n,modal_offset_hours,share_at_mode_pct,median_residual_min
2026-03-02,spring-forward (EST->EDT),19,5,100.0,-0.1
2026-03-03,spring-forward (EST->EDT),19,5,100.0,2.6
2026-03-04,spring-forward (EST->EDT),13,5,100.0,0.4
2026-03-05,spring-forward (EST->EDT),12,5,100.0,-1.9
2026-03-06,spring-forward (EST->EDT),29,5,89.7,-0.1
2026-03-07,spring-forward (EST->EDT),52,5,82.7,5.1
2026-03-08,spring-forward (EST->EDT),47,4,91.5,2.8
2026-03-09,spring-forward (EST->EDT),35,4,94.3,1.8
2026-03-10,spring-forward (EST->EDT),22,4,95.5,0.3
2026-03-11,spring-forward (EST->EDT),34,4,94.1,1.7
2026-03-12,spring-forward (EST->EDT),25,4,84.0,-2.4
2026-03-13,spring-forward (EST->EDT),26,4,92.3,2.3
2026-03-14,spring-forward (EST->EDT),47,4,91.5,-1.9
