metric,cohort,n,p50,p75,p90,mean
approach,gold,4922,26.2,42.4,64.2,30.8
approach,all,13569,24.6,44.5,69.6,30.4
approach,inhouse_not_flagged,10188,23.5,42.4,67.0,29.4
approach,all_minus_fabricators,11399,26.7,45.8,70.4,32.3
dwell_all,gold,4958,16.3,30.3,46.9,20.9
dwell_all,all,13821,17.4,36.5,56.7,23.7
dwell_all,inhouse_not_flagged,10368,18.1,36.9,57.2,24.2
dwell_all,all_minus_fabricators,11664,17.6,35.3,54.3,23.6
dwell_ARRIVAL,gold,2088,26.0,39.4,53.3,28.3
dwell_ARRIVAL,all,6597,26.9,44.6,65.0,30.7
dwell_ARRIVAL,inhouse_not_flagged,4439,28.9,46.0,66.4,32.2
dwell_ARRIVAL,all_minus_fabricators,5457,27.5,44.3,63.3,31.5
dwell_DEPARTURE,gold,2510,9.9,20.6,35.1,15.2
dwell_DEPARTURE,all,6104,10.1,25.7,44.3,17.2
dwell_DEPARTURE,inhouse_not_flagged,5124,10.6,27.0,45.4,17.9
dwell_DEPARTURE,all_minus_fabricators,5251,10.2,23.2,41.1,16.4
dwell_OTHER,gold,360,11.2,23.8,41.3,17.2
dwell_OTHER,all,1120,9.9,25.6,50.7,18.0
dwell_OTHER,inhouse_not_flagged,805,11.3,29.4,55.7,20.1
dwell_OTHER,all_minus_fabricators,956,10.4,24.3,45.6,17.5
ride,gold,4783,34.2,42.7,57.8,38.3
ride,all,12046,35.3,46.4,62.0,40.3
ride,inhouse_not_flagged,8695,34.8,44.3,59.3,39.1
ride,all_minus_fabricators,11429,35.3,46.2,61.7,40.2
occupancy,gold,4987,53.1,70.8,90.2,58.5
occupancy,all,14222,53.3,74.6,97.6,58.5
occupancy,inhouse_not_flagged,10542,52.2,72.8,95.4,57.1
occupancy,all_minus_fabricators,12000,55.7,76.2,98.2,62.3
true_dwell_gate_to_pu,gold,1291,37.2,45.2,58.0,40.5
true_dwell_gate_to_pu,all,3956,39.2,53.8,77.7,47.0
true_dwell_gate_to_pu,inhouse_not_flagged,2582,39.3,55.1,79.0,46.7
guest_only_dwell_gate_to_pu,gold,284,35.5,42.6,50.6,37.8
guest_only_dwell_gate_to_pu,all,1034,36.6,47.9,69.5,42.6
driver_onlocation_minus_gate,gold,1287,12.0,20.7,32.7,11.5
driver_onlocation_minus_gate,all,3806,11.9,25.1,41.8,12.8
