date,n,modal_offset_h,modal_share_pct,median_offset_h,expected_h
2026-02-22,87,5,82.8,4.947,5
2026-02-23,43,5,90.7,5.022,5
2026-02-24,44,5,79.5,4.822,5
2026-02-25,50,5,84.0,4.983,5
2026-02-26,62,5,79.0,4.933,5
2026-02-27,56,5,87.5,4.947,5
2026-02-28,87,5,83.9,4.897,5
2026-03-01,71,5,77.5,4.9,5
2026-03-02,58,5,81.0,5.007,5
2026-03-03,44,5,79.5,4.913,5
2026-03-04,46,5,76.1,5.002,5
2026-03-05,50,5,82.0,4.953,5
2026-03-06,73,5,74.0,4.923,5
2026-03-07,95,5,67.4,4.978,5
2026-03-08,85,4,71.8,3.977,4
2026-03-09,52,4,86.5,3.855,4
2026-03-10,42,4,88.1,3.942,4
2026-03-11,60,4,78.3,3.889,4
2026-03-12,60,4,75.0,4.026,4
2026-03-13,63,4,76.2,3.944,4
2026-03-14,87,4,64.4,3.92,4
2026-03-15,81,4,85.2,4.001,4
2026-03-16,39,4,82.1,3.929,4
2026-03-17,50,4,72.0,4.016,4
2026-03-18,51,4,78.4,4.036,4
2026-03-19,71,4,83.1,3.891,4
2026-03-20,74,4,75.7,3.897,4
2026-03-21,103,4,85.4,3.88,4
2026-03-22,81,4,75.3,3.948,4
