metric,window,n,p50,p75,p90,p95
approach,prior_window_floor2,5230,30.216666666666665,48.18333333333333,71.88333333333334,90.85
approach,new_window_floor2,5230,30.216666666666665,48.18333333333333,71.88333333333334,90.85
curb wait,prior_window_floor2,5605,22.166666666666668,40.1,61.53333333333333,79.66666666666667
curb wait,new_window_floor2,5605,22.166666666666668,40.1,61.53333333333333,79.66666666666667
ride time,prior_window_floor2,5922,34.61666666666667,44.18333333333333,59.35,69.05
ride time,new_window_floor2,5922,34.61666666666667,44.18333333333333,59.35,69.05
occupancy,prior_window_floor2,6433,55.86666666666667,76.38333333333334,98.05,114.23333333333333
occupancy,new_window_floor2,6433,55.86666666666667,76.38333333333334,98.05,114.23333333333333
"approach, NO 2-min floor",new_window,6403,25.116666666666667,42.583333333333336,67.4,84.08333333333333
"curb wait, NO 2-min floor",new_window,6425,18.55,36.833333333333336,58.2,76.05
"occupancy, arrivals only, floor 2",new_window,2461,69.33333333333333,87.7,110.66666666666667,127.58333333333333
"occupancy, arrivals only, no floor",new_window,2476,68.93333333333334,87.61666666666666,110.66666666666667,127.58333333333333
true_dwell_arrivals,new_window,2443,36.766666666666666,46.55,64.46666666666667,76.5
