pickup_bucket,dropoff_bucket,n_prior,p50_prior,p75_prior,n_new,p50_new,p75_new
Disney Resort,MCO Terminal,2388,32.85,36.31666666666667,2388,32.85,36.31666666666667
MCO Terminal,Disney Resort,2129,35.583333333333336,44.2,2129,35.583333333333336,44.2
Port Canaveral Area,MCO Terminal,192,49.583333333333336,55.25,192,49.583333333333336,55.25
Universal Resort,MCO Terminal,155,23.5,27.133333333333333,155,23.5,27.133333333333333
MCO Terminal,Port Canaveral Area,145,50.56666666666667,58.63333333333333,145,50.56666666666667,58.63333333333333
MCO Terminal,Universal Resort,133,29.35,37.1,133,29.35,37.1
Disney Resort,SFB Terminal,130,58.85,62.75,130,58.85,62.75
SFB Terminal,Disney Resort,89,60.13333333333333,71.81666666666666,89,60.13333333333333,71.81666666666666
Disney Resort,Universal Resort,75,29.066666666666666,32.766666666666666,75,29.066666666666666,32.766666666666666
Disney Resort,Port Canaveral Area,73,74.53333333333333,80.83333333333333,73,74.53333333333333,80.83333333333333
Airport Hotel,Port Canaveral Area,54,53.983333333333334,60.63333333333333,54,53.983333333333334,60.63333333333333
Universal Resort,Disney Resort,48,29.4,32.86666666666667,48,29.4,32.86666666666667
Port Canaveral Area,Disney Resort,47,71.0,81.33333333333333,47,71.0,81.33333333333333
Airport Hotel,Disney Resort,29,32.416666666666664,37.85,29,32.416666666666664,37.85
