a_dropoff_bucket,b_pickup_bucket,same_or_diff,n,p50,p75,p90
MCO Terminal,MCO Terminal,same,1320,1.1833333333333333,34.6,89.38333333333334
MCO Terminal,Disney Resort,diff,997,2.3333333333333335,41.71666666666667,87.46666666666667
Disney Resort,Disney Resort,same,949,3.966666666666667,35.766666666666666,73.13333333333334
Disney Resort,MCO Terminal,diff,810,24.966666666666665,87.75,154.3
MCO Terminal,Port Canaveral Area,diff,159,0.6833333333333333,16.0,67.88333333333334
Port Canaveral Area,MCO Terminal,diff,142,8.95,76.83333333333333,140.6
MCO Terminal,Universal Resort,diff,93,2.316666666666667,36.03333333333333,99.65
Universal Resort,Disney Resort,diff,85,11.8,40.016666666666666,73.55
Universal Resort,MCO Terminal,diff,84,28.216666666666665,68.03333333333333,99.55
Port Canaveral Area,Disney Resort,diff,75,25.9,81.76666666666667,129.65
Disney Resort,Universal Resort,diff,63,8.55,46.78333333333333,109.01666666666667
SFB Terminal,Disney Resort,diff,54,8.45,64.1,108.61666666666666
MCO Terminal,Airport Hotel,diff,52,5.05,20.033333333333335,54.233333333333334
SFB Terminal,MCO Terminal,diff,40,31.616666666666667,81.66666666666667,201.75
Disney Resort,SFB Terminal,diff,39,57.86666666666667,102.63333333333334,208.4
MCO Terminal,SFB Terminal,diff,36,2.3,73.61666666666666,121.1
SFB Terminal,SFB Terminal,same,22,6.6,30.983333333333334,99.18333333333334
Universal Resort,Universal Resort,same,18,0.4666666666666667,2.2333333333333334,7.016666666666667
MCO Terminal,Other Hotel,diff,14,1.1666666666666667,55.88333333333333,339.3
Other Hotel,MCO Terminal,diff,13,23.75,43.35,135.53333333333333
Airport Hotel,MCO Terminal,diff,13,1.8,6.95,73.46666666666667
Port Canaveral Area,Port Canaveral Area,same,13,0.15,10.7,32.266666666666666
Disney Resort,Airport Hotel,diff,12,6.2,92.03333333333333,92.75
SFB Terminal,Port Canaveral Area,diff,10,3.5833333333333335,32.53333333333333,160.5
MCO Terminal,Residential,diff,9,28.016666666666666,38.166666666666664,158.66666666666666
Residential,Disney Resort,diff,8,64.56666666666666,100.91666666666667,369.23333333333335
Other Hotel,Disney Resort,diff,8,54.18333333333333,88.2,145.03333333333333
Residential,MCO Terminal,diff,8,46.31666666666667,63.81666666666667,130.76666666666668
Port Canaveral Area,Airport Hotel,diff,8,29.6,48.916666666666664,72.75
Disney Resort,Other Hotel,diff,8,0.8,150.8,282.48333333333335
Disney Resort,Other,diff,8,46.233333333333334,121.13333333333334,217.83333333333334
Port Canaveral Area,Universal Resort,diff,7,8.8,115.86666666666666,124.9
Disney Resort,Residential,diff,7,0.95,66.21666666666667,100.45
Port Canaveral Area,SFB Terminal,diff,6,80.05,96.8,225.33333333333334
Other,Disney Resort,diff,6,4.883333333333334,15.716666666666667,28.5
SFB Terminal,Universal Resort,diff,6,76.63333333333334,119.05,243.9
Universal Resort,Airport Hotel,diff,5,0.2833333333333333,0.3,53.516666666666666
Universal Resort,Port Canaveral Area,diff,5,1.9,3.566666666666667,26.916666666666668
Other,MCO Terminal,diff,5,67.81666666666666,105.4,109.45
SFB Terminal,Airport Hotel,diff,4,2.85,26.583333333333332,26.583333333333332
Airport Hotel,Disney Resort,diff,4,3.716666666666667,8.616666666666667,8.616666666666667
Port Canaveral Area,Other,diff,4,76.0,165.25,165.25
Universal Resort,SFB Terminal,diff,3,0.7,44.9,44.9
Disney Resort,Port Canaveral Area,diff,3,3.1333333333333333,60.85,60.85
Airport Hotel,Universal Resort,diff,3,43.63333333333333,106.1,106.1
MCO Terminal,Other,diff,2,16.45,16.45,16.45
Port Canaveral Area,Other Hotel,diff,1,20.716666666666665,20.716666666666665,20.716666666666665
Port Canaveral Area,Residential,diff,1,22.266666666666666,22.266666666666666,22.266666666666666
Airport Hotel,Airport Hotel,same,1,9.983333333333333,9.983333333333333,9.983333333333333
SFB Terminal,Residential,diff,1,0.2,0.2,0.2
Other,Port Canaveral Area,diff,1,0.05,0.05,0.05
Other,Other Hotel,diff,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
Airport Hotel,SFB Terminal,diff,1,0.31666666666666665,0.31666666666666665,0.31666666666666665
Other Hotel,Port Canaveral Area,diff,1,2.1666666666666665,2.1666666666666665,2.1666666666666665
SFB Terminal,Other Hotel,diff,1,1.2,1.2,1.2
Other Hotel,Universal Resort,diff,1,0.05,0.05,0.05
Other Hotel,Other,diff,1,1.2666666666666666,1.2666666666666666,1.2666666666666666
