month,vehicle_class,legs,farmed,inhouse,no_driver,farmed_share_of_all,farmed_share_of_assigned,in_window_W
2025-10,Van(14 Pax),30,17,13,0,0.5667,0.5667,no
2025-10,mini_van,180,65,115,0,0.3611,0.3611,no
2025-10,suv,220,85,134,1,0.3864,0.3881,no
2025-10,towncar,204,69,131,4,0.3382,0.345,no
2025-10,van,106,61,44,1,0.5755,0.581,no
2025-11,Van(14 Pax),60,18,42,0,0.3,0.3,no
2025-11,mini_van,242,74,165,3,0.3058,0.3096,no
2025-11,suv,317,88,228,1,0.2776,0.2785,no
2025-11,towncar,250,85,162,3,0.34,0.3441,no
2025-11,van,135,48,85,2,0.3556,0.3609,no
2025-12,Van(14 Pax),80,37,39,4,0.4625,0.4868,no
2025-12,mini_van,225,68,153,4,0.3022,0.3077,no
2025-12,suv,381,109,261,11,0.2861,0.2946,no
2025-12,towncar,280,85,189,6,0.3036,0.3102,no
2025-12,van,198,70,120,8,0.3535,0.3684,no
2026-01,Van(14 Pax),80,12,67,1,0.15,0.1519,no
2026-01,mini_van,364,106,248,10,0.2912,0.2994,no
2026-01,suv,445,131,309,5,0.2944,0.2977,no
2026-01,towncar,395,148,245,2,0.3747,0.3766,no
2026-01,van,196,52,142,2,0.2653,0.268,no
2026-02,Van(14 Pax),105,15,89,1,0.1429,0.1442,yes
2026-02,mini_van,439,114,319,6,0.2597,0.2633,yes
2026-02,suv,638,188,443,7,0.2947,0.2979,yes
2026-02,towncar,564,169,386,9,0.2996,0.3045,yes
2026-02,van,253,39,213,1,0.1542,0.1548,yes
2026-03,Van(14 Pax),121,19,100,2,0.157,0.1597,yes
2026-03,mini_van,610,149,439,22,0.2443,0.2534,yes
2026-03,suv,877,243,597,37,0.2771,0.2893,yes
2026-03,towncar,715,229,453,33,0.3203,0.3358,yes
2026-03,van,384,77,295,12,0.2005,0.207,yes
2026-04,Van(14 Pax),127,21,103,3,0.1654,0.1694,yes
2026-04,mini_van,589,92,477,20,0.1562,0.1617,yes
2026-04,suv,968,218,724,26,0.2252,0.2314,yes
2026-04,towncar,714,209,472,33,0.2927,0.3069,yes
2026-04,van,410,75,329,6,0.1829,0.1856,yes
2026-05,Van(14 Pax),92,6,84,2,0.0652,0.0667,yes
2026-05,mini_van,613,140,465,8,0.2284,0.2314,yes
2026-05,suv,973,187,773,13,0.1922,0.1948,yes
2026-05,towncar,840,224,585,31,0.2667,0.2769,yes
2026-05,van,396,47,345,4,0.1187,0.1199,yes
2026-06,Van(14 Pax),135,13,117,5,0.0963,0.1,yes
2026-06,mini_van,593,77,489,27,0.1298,0.136,yes
2026-06,suv,894,111,767,16,0.1242,0.1264,yes
2026-06,towncar,741,135,591,15,0.1822,0.186,yes
2026-06,van,436,48,382,6,0.1101,0.1116,yes
2026-07,Van(14 Pax),94,9,44,41,0.0957,0.1698,yes
2026-07,mini_van,501,31,233,237,0.0619,0.1174,yes
2026-07,suv,735,28,355,352,0.0381,0.0731,yes
2026-07,towncar,581,54,259,268,0.0929,0.1725,yes
2026-07,van,313,16,155,142,0.0511,0.0936,yes
2026-08,Van(14 Pax),66,0,7,59,0.0,0.0,no
2026-08,mini_van,280,0,11,269,0.0,0.0,no
2026-08,suv,374,0,26,348,0.0,0.0,no
2026-08,towncar,272,0,18,254,0.0,0.0,no
2026-08,van,181,0,14,167,0.0,0.0,no
2026-09,Van(14 Pax),37,0,0,37,0.0,,no
2026-09,mini_van,179,0,0,179,0.0,,no
2026-09,suv,224,0,0,224,0.0,,no
2026-09,towncar,275,0,0,275,0.0,,no
2026-09,van,91,0,0,91,0.0,,no
2026-10,Van(14 Pax),45,0,0,45,0.0,,no
2026-10,mini_van,88,0,0,88,0.0,,no
2026-10,suv,148,0,0,148,0.0,,no
2026-10,towncar,138,0,0,138,0.0,,no
2026-10,van,97,0,0,97,0.0,,no
2026-11,Van(14 Pax),13,0,0,13,0.0,,no
2026-11,mini_van,47,0,0,47,0.0,,no
2026-11,suv,98,0,0,98,0.0,,no
2026-11,towncar,105,0,0,105,0.0,,no
2026-11,van,71,0,0,71,0.0,,no
2026-12,Van(14 Pax),13,0,0,13,0.0,,no
2026-12,mini_van,42,0,0,42,0.0,,no
2026-12,suv,68,0,0,68,0.0,,no
2026-12,towncar,62,0,0,62,0.0,,no
2026-12,van,41,0,0,41,0.0,,no
2027-01,Van(14 Pax),8,0,0,8,0.0,,no
2027-01,mini_van,13,0,0,13,0.0,,no
2027-01,suv,25,0,0,25,0.0,,no
2027-01,towncar,23,0,0,23,0.0,,no
2027-01,van,16,0,0,16,0.0,,no
2027-02,Van(14 Pax),6,0,0,6,0.0,,no
2027-02,mini_van,6,0,0,6,0.0,,no
2027-02,suv,7,0,0,7,0.0,,no
2027-02,towncar,8,0,0,8,0.0,,no
2027-02,van,14,0,0,14,0.0,,no
2027-03,Van(14 Pax),1,0,0,1,0.0,,no
2027-03,mini_van,7,0,0,7,0.0,,no
2027-03,suv,7,0,0,7,0.0,,no
2027-03,towncar,2,0,0,2,0.0,,no
2027-03,van,3,0,0,3,0.0,,no
2027-04,mini_van,6,0,0,6,0.0,,no
2027-04,suv,2,0,0,2,0.0,,no
2027-04,towncar,6,0,0,6,0.0,,no
2027-04,van,2,0,0,2,0.0,,no
2027-05,mini_van,1,0,0,1,0.0,,no
2027-05,suv,3,0,0,3,0.0,,no
2027-05,towncar,1,0,0,1,0.0,,no
2027-06,van,4,0,0,4,0.0,,no
2027-07,mini_van,2,0,0,2,0.0,,no
2027-07,suv,4,0,0,4,0.0,,no
2027-07,van,2,0,0,2,0.0,,no
2027-08,suv,1,0,0,1,0.0,,no
2027-08,van,1,0,0,1,0.0,,no
2027-09,towncar,2,0,0,2,0.0,,no
2027-09,van,1,0,0,1,0.0,,no
2027-10,Van(14 Pax),1,0,0,1,0.0,,no
2027-10,van,2,0,0,2,0.0,,no
2027-11,van,1,0,0,1,0.0,,no
2029-09,towncar,1,0,0,1,0.0,,no
3220-03,towncar,1,0,0,1,0.0,,no
