rank,bucket,count,share_pct,side
1,MCO Terminal,6225,46.37,pickup
2,Disney Resort,5269,39.24,pickup
3,Port Canaveral Area,781,5.82,pickup
4,Universal Resort,513,3.82,pickup
5,SFB Terminal,288,2.15,pickup
6,Airport Hotel,175,1.3,pickup
7,Residential,73,0.54,pickup
8,Other Hotel,62,0.46,pickup
9,Other,40,0.3,pickup
1,Disney Resort,6093,45.38,dropoff
2,MCO Terminal,5514,41.07,dropoff
3,Port Canaveral Area,713,5.31,dropoff
4,Universal Resort,579,4.31,dropoff
5,SFB Terminal,263,1.96,dropoff
6,Residential,75,0.56,dropoff
7,Other Hotel,74,0.55,dropoff
8,Airport Hotel,68,0.51,dropoff
9,Other,47,0.35,dropoff
