airline,iata,n,p10,p25,p50,p75,p90,p95,pct_gt15_late,pct_gt45_late
Southwest,WN,1657,-16.0,-10.0,-2.0,10.0,29.0,46.0,18.1,5.1
Delta,DL,867,-20.0,-13.0,-5.0,8.0,36.0,70.0,19.8,7.7
American,AA,793,-22.0,-15.0,-5.0,15.0,55.0,98.0,24.2,12.5
United,UA,640,-28.0,-20.0,-11.0,1.0,25.0,62.0,14.4,5.6
JetBlue,B6,604,-27.0,-19.0,-10.0,6.0,29.0,60.0,16.6,6.6
Allegiant,G4,278,-23.0,-13.0,-3.0,17.0,52.0,99.0,26.6,10.4
Frontier,F9,222,-27.0,-22.0,-12.0,4.0,41.0,97.0,18.5,9.0
Breeze,MX,191,-31.0,-24.0,-15.0,0.0,20.0,33.0,12.6,3.1
Spirit(ceased),NK,71,-24.0,-14.0,1.0,31.0,83.0,116.0,33.8,14.1
Alaska,AS,52,-28.0,-23.0,-7.0,5.0,20.0,77.0,11.5,5.8
Avelo,XP,48,-30.05,-23.0,-19.0,-9.0,-2.0,11.0,4.2,4.2
AirCanada,AC,30,-29.0,-13.0,8.0,35.0,91.0,138.0,36.7,20.0
SunCountry,SY,20,-20.0,-19.0,-9.0,7.0,32.0,71.0,10.0,5.0
VirginAtlantic,VS,20,-39.0,-25.0,-10.0,1.0,38.0,68.0,15.0,5.0
WestJet,WS,17,-25.0,-14.0,-9.0,7.0,44.0,183.0,23.5,5.9
BritishAirways,BA,8,-12.0,2.0,27.0,137.0,137.0,137.0,50.0,37.5
Porter,PD,8,-28.0,-6.0,5.0,17.0,111.0,111.0,25.0,12.5
AerLingus,EI,2,-48.06666666666667,-48.06666666666667,-26.35,-26.35,-26.35,-26.35,0.0,0.0
KoreanAir,KE,2,156.0,156.0,156.0,156.0,156.0,156.0,100.0,100.0
AirFrance,AF,1,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,0.0,0.0
Icelandair,FI,1,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,0.0,0.0
Lufthansa/Discover,LH,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
VivaAerobus,VB,1,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0
