column,all_flights_nonnull,all_flights_null_pct,controlling_nonnull,controlling_null_pct
id,25456,0.0,6480,0.0
flight_type,726,97.1,152,97.7
airline,25429,0.1,6478,0.0
flight_number,24779,2.7,6472,0.1
baggage_claim,7255,71.5,6206,4.2
destination,8253,67.6,6238,3.7
estimated_arrival_local,8093,68.2,6223,4.0
flight_iata,8253,67.6,6238,3.7
gate,7255,71.5,6206,4.2
last_updated,8292,67.4,6245,3.6
origin,8253,67.6,6238,3.7
scheduled_arrival_local,8254,67.6,6238,3.7
status,8291,67.4,6245,3.6
terminal,7255,71.5,6206,4.2
estimated_gate_arrival_local,8114,68.1,6227,3.9
scheduled_gate_arrival_local,8246,67.6,6231,3.8
actual_arrival_local,6060,76.2,5634,13.1
actual_gate_arrival_local,5941,76.7,5535,14.6
airline_display_name,20252,20.4,6476,0.1
departure_date,8,100.0,7,99.9
