clear_bucket,next_pickup_bucket,n,p25,p50,p75,p90
MCO Terminal,MCO Terminal,1554,8.4,34.166666666666664,72.36666666666666,120.88333333333334
MCO Terminal,Disney Resort,1246,31.3,45.88333333333333,75.21666666666667,115.86666666666666
Disney Resort,Disney Resort,1119,14.05,30.95,60.6,98.66666666666667
Disney Resort,MCO Terminal,942,52.0,82.65,121.95,181.91666666666666
MCO Terminal,Port Canaveral Area,191,50.083333333333336,60.95,87.18333333333334,120.93333333333334
Port Canaveral Area,MCO Terminal,143,65.26666666666667,91.43333333333334,127.95,186.0
MCO Terminal,Universal Resort,125,24.316666666666666,36.166666666666664,73.33333333333333,122.56666666666666
Universal Resort,Disney Resort,106,28.15,44.5,72.35,92.36666666666666
Universal Resort,MCO Terminal,102,36.55,69.9,100.26666666666667,130.86666666666667
Port Canaveral Area,Disney Resort,87,70.48333333333333,81.8,116.68333333333334,157.73333333333332
Disney Resort,Universal Resort,74,28.333333333333332,48.45,84.7,148.83333333333334
MCO Terminal,Airport Hotel,65,6.733333333333333,19.6,48.3,80.01666666666667
SFB Terminal,Disney Resort,65,55.333333333333336,63.233333333333334,100.4,152.91666666666666
Disney Resort,SFB Terminal,48,83.95,98.78333333333333,131.75,195.23333333333332
SFB Terminal,MCO Terminal,46,55.63333333333333,82.63333333333334,120.93333333333334,167.56666666666666
