pickup_text,dropoff_text,drive_minutes,distance_text,status,pickup_bucket,dropoff_bucket
Port Canaveral - Utopia of the Seas,"Comfort Inn & Suites Orlando Sanford A- 3043 E Lake Mary Blvd, Sanford, FL 32773irport",64,58.1 mi,ok,Port Canaveral Area,Other Hotel
Orlando International Airport (MCO),Radisson Resort at the Port,44,45.5 mi,ok,MCO Terminal,Other Hotel
"Sanford Fl International Airport (SFB), Red Cleveland Boulevard, Sanford, FL, USA","Villatel Orlando Resort, Del Verde Way, Orlando, FL, USA",42,35.3 mi,ok,SFB Terminal,Other Hotel
"Sanford Fl International Airport (SFB), Red Cleveland Boulevard, Sanford, FL, USA",Royal Caribbean - Adventure of the sea,,,failed,SFB Terminal,Other
"Disney's Pop Century Resort, Century Drive, Lake Buena Vista, FL, USA",Disney's Contemporary Resort,14,6.9 mi,ok,Disney Resort,Disney Resort
"Disney's Port Orleans Resort - French Quarter, Orleans Drive, Lake Buena Vista, FL, USA","Disney's Animal Kingdom Lodge, Osceola Parkway, Lake Buena Vista, FL, USA",14,7.2 mi,ok,Disney Resort,Disney Resort
"Disney's Animal Kingdom Lodge, Osceola Parkway, Lake Buena Vista, FL, USA","Disney's Port Orleans Resort - French Quarter, Orleans Drive, Lake Buena Vista, FL, USA",18,6.4 mi,ok,Disney Resort,Disney Resort
"3412 S Atlantic Ave, Cocoa Beach, FL 32931",Port Canaveral - Royal Caribbean Star of the Seas,19,9.7 mi,ok,Port Canaveral Area,Port Canaveral Area
Radisson Resort at the Port,"Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA",40,44.9 mi,ok,Other Hotel,MCO Terminal
Radisson Resort at the Port,"3412 S Atlantic Ave, Cocoa Beach, FL 32931",16,8.6 mi,ok,Other Hotel,Port Canaveral Area
Radisson Resort at the Port,Orlando International Airport (MCO),40,44.9 mi,ok,Other Hotel,MCO Terminal
"Disney's Art of Animation Resort, Animation Way, Lake Buena Vista, FL, USA","Disney's Contemporary Resort, World Drive, Lake Buena Vista, FL, USA",11,6.1 mi,ok,Disney Resort,Disney Resort
"Disney's Art of Animation, Orlando ,Fl","Disney's Contemporary Resort, World Drive, Lake Buena Vista, FL, USA",11,6.1 mi,ok,Disney Resort,Disney Resort
"Disney's All-Star Movies Resort, West Buena Vista Drive, Lake Buena Vista, FL, USA",Disney's Grand Floridian Resort & Spa,11,6.8 mi,ok,Disney Resort,Disney Resort
"Disney's Art of Animation Resort, Animation Way, Lake Buena Vista, FL, USA",Disney's Grand Floridian Resort & Spa,10,5.9 mi,ok,Disney Resort,Disney Resort
"Disney's Art of Animation, Orlando ,Fl",Disney's Grand Floridian Resort & Spa,10,5.9 mi,ok,Disney Resort,Disney Resort
Port Canaveral - Norwegian Prima,"Cruise Terminal #1, Discovery Road, Port Canaveral, Cape Canaveral, FL, USA",1,0.2 mi,ok,Port Canaveral Area,Port Canaveral Area
