date,dva_inhouse_drivers,worked_inhouse_drivers,intersection
2026-01-18,6,6,6
2026-01-19,7,7,7
2026-01-20,5,6,5
2026-01-21,5,5,5
2026-01-22,6,7,6
2026-01-23,6,7,6
2026-01-24,8,10,8
2026-01-25,8,9,8
2026-01-26,6,6,6
2026-01-27,6,7,6
2026-01-28,7,8,7
2026-01-29,7,6,6
2026-01-30,8,8,7
2026-01-31,8,8,8
2026-02-01,8,8,8
2026-02-02,7,7,7
2026-02-03,6,6,6
2026-02-04,8,8,8
2026-02-05,9,10,9
2026-02-06,9,9,9
2026-02-07,9,11,9
2026-02-08,8,11,7
2026-02-09,8,9,7
2026-02-10,7,7,7
2026-02-11,8,8,8
2026-02-12,7,9,7
2026-02-13,9,9,9
2026-02-14,10,12,10
2026-02-15,10,12,10
2026-02-16,9,10,9
2026-02-17,9,9,9
2026-02-18,7,9,7
2026-02-19,8,11,8
2026-02-20,11,11,10
2026-02-21,9,12,9
2026-02-22,10,12,10
2026-02-23,9,11,9
2026-02-24,7,7,7
2026-02-25,8,10,8
2026-02-26,8,10,8
2026-02-27,8,10,8
2026-02-28,10,11,10
2026-03-01,9,10,9
2026-03-02,9,10,9
2026-03-03,8,9,8
2026-03-04,9,9,9
2026-03-05,9,9,9
2026-03-06,9,11,9
2026-03-07,10,12,10
2026-03-08,9,11,9
2026-03-09,10,11,10
2026-03-10,8,8,8
2026-03-11,8,8,8
2026-03-12,11,11,10
2026-03-13,9,9,9
2026-03-14,9,13,9
2026-03-15,10,12,10
2026-03-16,9,10,9
2026-03-17,8,10,8
2026-03-18,9,9,9
2026-03-19,11,12,11
2026-03-20,11,13,11
2026-03-21,11,13,11
2026-03-22,11,12,11
2026-03-23,10,10,10
2026-03-24,10,10,10
2026-03-25,10,11,10
2026-03-26,12,12,12
2026-03-27,12,12,12
2026-03-28,13,15,13
2026-03-29,12,13,12
2026-03-30,11,12,11
2026-03-31,7,8,7
2026-04-01,11,12,11
2026-04-02,11,11,11
2026-04-03,12,14,12
2026-04-04,12,12,12
2026-04-05,11,11,11
2026-04-06,13,14,13
2026-04-07,9,11,9
2026-04-08,11,11,11
2026-04-09,12,13,12
2026-04-10,13,13,12
2026-04-11,11,12,11
2026-04-12,12,13,12
2026-04-13,12,12,12
2026-04-14,8,8,8
2026-04-15,11,11,11
2026-04-16,12,13,12
2026-04-17,14,15,14
2026-04-18,13,13,13
2026-04-19,11,12,11
2026-04-20,12,12,12
2026-04-21,9,9,9
2026-04-22,11,11,11
2026-04-23,13,13,13
2026-04-24,13,13,13
2026-04-25,13,13,13
2026-04-26,13,13,13
2026-04-27,13,13,13
2026-04-28,12,12,12
2026-04-29,9,9,9
2026-04-30,14,14,14
2026-05-01,11,11,11
2026-05-02,13,14,13
2026-05-03,11,11,11
2026-05-04,13,13,13
2026-05-05,9,9,9
2026-05-06,13,13,13
2026-05-07,13,13,13
2026-05-08,12,12,12
2026-05-09,13,14,13
2026-05-10,10,11,10
2026-05-11,13,13,13
2026-05-12,10,10,10
2026-05-13,9,9,9
2026-05-14,13,13,13
2026-05-15,14,14,14
2026-05-16,13,13,13
2026-05-17,13,14,13
2026-05-18,13,13,13
2026-05-19,9,9,9
2026-05-20,13,13,13
2026-05-21,16,16,16
2026-05-22,15,14,14
2026-05-23,14,15,14
2026-05-24,14,13,13
2026-05-25,13,13,13
2026-05-26,13,14,13
2026-05-27,11,11,11
2026-05-28,14,14,14
2026-05-29,13,13,13
2026-05-30,13,14,13
2026-05-31,14,14,14
2026-06-01,13,14,13
2026-06-02,10,10,10
2026-06-03,12,12,12
2026-06-04,12,12,12
2026-06-05,14,14,14
2026-06-06,14,14,14
2026-06-07,13,14,13
2026-06-08,15,15,15
2026-06-09,14,14,14
2026-06-10,16,16,16
2026-06-11,14,14,14
2026-06-12,14,14,14
2026-06-13,15,16,15
2026-06-14,14,14,14
2026-06-15,13,13,13
2026-06-16,12,12,12
2026-06-17,13,13,13
2026-06-18,13,13,13
2026-06-19,15,16,15
2026-06-20,13,14,13
2026-06-21,14,15,14
2026-06-22,14,14,14
2026-06-23,14,14,14
2026-06-24,11,11,11
2026-06-25,12,12,12
2026-06-26,16,16,16
2026-06-27,14,14,14
2026-06-28,15,15,15
2026-06-29,13,13,13
2026-06-30,13,13,13
2026-07-01,11,11,11
2026-07-02,12,13,12
2026-07-03,16,16,16
2026-07-04,12,12,12
2026-07-05,14,14,14
2026-07-06,13,13,13
2026-07-07,14,14,14
2026-07-08,13,13,13
2026-07-09,16,16,16
2026-07-10,16,16,16
2026-07-11,17,17,17
