id,created_at,category,operational_status,closed_reason,leg_id,pickup_date,pickup_time,pickup,dropoff,minutes_booked_to_onlocation,description
1,2026-07-25 19:39:35,driver_conflict,backup_arranged,admin_removed,28430,2026-07-25,17:00,"Disney's Animal Kingdom Lodge, Osceola Parkway, Lake Buena Vista, FL, USA","Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA",-30.6,"michael has a 4:00 pm, make sure he is 51 for the 4:00 pm early or cover this job"
2,2026-07-29 13:35:51,tight_schedule,being_monitored,leg_completed,29896,2026-07-29,16:45,Disney's Caribbean Beach Resort,Orlando International Airport (MCO),-7.0,"The 4:45 PM departure is tight with her next 5:25 PM arrival from MCO. If this guest is not picked by 4:50PM latest, we will likely have to reassign the arrival or keep close track of her status."
3,2026-07-29 18:58:03,tight_schedule,needs_attention,leg_completed,26408,2026-07-30,09:27,"Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA","Disney's Polynesian Village Resort, Seven Seas Drive, Lake Buena Vista, FL, USA",24.6,This flight has been consistently showing arriving early on Flightradar24 (approx. 915am'ish). If it is early may have to move James Radcliffe 9a departure a Van that has already started it's day (Robert)
4,2026-07-29 19:00:05,driver_conflict,needs_attention,leg_completed,30604,2026-07-30,09:00,"Bay Lake Tower at Disney's Contemporary Resort, World Drive, Lake Buena Vista, FL, USA","Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA",,If Raymond's 941am arrival (Jessica Hipkins) comes in early - Action Plan: This can be moved to a Van that has already started it's day (Robert)
5,2026-07-29 19:04:22,tight_schedule,needs_attention,admin_removed,31416,2026-07-30,11:30,Disney's Beach Club Resort,Orlando International Airport (MCO),-50.1,This was a Last Minute Res - If Raymond's 941am arrival (Jessica Hipkins | 14 PAX) comes in on time or late  - Action Plan: This can be swapped with Robert's 12pm (Patricia Van Dyke) SUV return
6,2026-07-31 04:40:03,driver_conflict,needs_attention,admin_removed,30831,2026-07-31,16:30,"Marriott Orlando World Center Hotel and Resort, World Center Drive, Orlando, FL, USA","Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA",-21.5,"Steven's Arrival is clearing very close to this departure. If his arrival seems to be running behind, this jobs needs to be reassigned."
7,2026-07-31 04:41:02,driver_conflict,being_monitored,leg_completed,28702,2026-07-31,16:30,"Disney's Polynesian Village Resort, Seven Seas Drive, Bay Lake, FL, USA","Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA",-10.4,"This Departure is very close to Stevens Arrival before this. If the arrival runs behind a bit, this departure will need to be reassigned."
8,2026-07-31 04:45:48,tight_schedule,needs_attention,leg_completed,26459,2026-07-31,08:00,Port Canaveral,Disney's Grand Floridian Resort & Spa,-21.3,"Try to have George pick these guest up early from the Port. He has a 9:30 AM departure from disney after this job. If he doesn't pick up this client by 8:00 AM sharp or earlier, the next job may have to be reassigned"
9,2026-07-31 18:28:07,other,backup_arranged,admin_removed,29703,2026-07-31,17:00,"Disney's Polynesian Village Resort, Seven Seas Drive, Lake Buena Vista, FL, USA","Sanford Fl International Airport (SFB), Red Cleveland Boulevard, Sanford, FL, USA",-0.9,Disregard
10,2026-07-31 21:44:57,other,needs_attention,leg_completed,25907,2026-07-31,19:40,MCO Airport,"Disney's Pop Century Resort, Century Drive, Lake Buena Vista, FL, USA",84.2,Testing
