trip_type,pickup_cat,dropoff_cat,tod,day_type,sample_count,p75_total,p90_total,last_calculated
arrival,MCO Terminal,Disney Resort,midday,weekday,644,75,82,2026-07-31 20:25:25
arrival,MCO Terminal,Disney Resort,afternoon,weekday,480,81,91,2026-08-07 22:17:52
return,Disney Resort,MCO Terminal,midday,weekday,461,36,39,2026-07-31 20:25:24
return,Disney Resort,MCO Terminal,morning_rush,weekday,362,36,39,2026-07-31 20:25:24
arrival,MCO Terminal,Disney Resort,morning_rush,weekday,354,75,83,2026-08-05 13:56:44
return,Disney Resort,MCO Terminal,afternoon,weekday,321,38,41,2026-07-31 20:25:24
arrival,MCO Terminal,Disney Resort,afternoon,weekend,253,82,91,2026-08-16 20:27:28
arrival,MCO Terminal,Disney Resort,evening,weekday,245,78,87,2026-07-31 20:25:24
return,Disney Resort,MCO Terminal,midday,weekend,244,36,39,2026-07-31 20:25:24
arrival,MCO Terminal,Disney Resort,midday,weekend,244,79,87,2026-07-31 20:25:25
return,Disney Resort,MCO Terminal,early_morning,weekday,217,33,36,2026-07-31 20:25:24
return,Disney Resort,MCO Terminal,afternoon,weekend,204,36,39,2026-08-15 20:30:59
return,Disney Resort,MCO Terminal,morning_rush,weekend,175,33,35,2026-07-31 20:25:24
return,Disney Resort,MCO Terminal,early_morning,weekend,167,32,35,2026-07-31 20:25:24
cruise,Port Canaveral Area,MCO Terminal,morning_rush,weekday,122,56,61,2026-07-31 20:25:25
arrival,MCO Terminal,Disney Resort,morning_rush,weekend,114,75,83,2026-07-31 20:25:25
cruise,Port Canaveral Area,MCO Terminal,morning_rush,weekend,98,48,50,2026-07-31 20:25:25
arrival,MCO Terminal,Disney Resort,night,weekday,73,73,83,2026-08-07 05:07:49
arrival,MCO Terminal,Disney Resort,evening,weekend,72,81,90,2026-07-31 20:25:25
return,Disney Resort,MCO Terminal,evening,weekday,59,34,36,2026-07-31 20:25:24
arrival,SFB Terminal,Disney Resort,midday,weekday,39,102,112,2026-07-31 20:25:25
arrival,MCO Terminal,Universal Resort,midday,weekday,34,65,74,2026-07-31 20:25:26
arrival,MCO Terminal,Universal Resort,afternoon,weekday,34,70,88,2026-07-31 20:25:25
return,Universal Resort,MCO Terminal,morning_rush,weekday,31,24,26,2026-07-31 20:25:24
cruise,Port Canaveral Area,Disney Resort,morning_rush,weekday,29,81,94,2026-07-31 20:25:25
return,Disney Resort,MCO Terminal,evening,weekend,29,33,35,2026-08-16 23:45:30
cruise,Disney Resort,Port Canaveral Area,midday,weekday,27,74,76,2026-07-31 20:25:24
arrival,SFB Terminal,Disney Resort,afternoon,weekday,27,103,116,2026-07-31 20:25:25
arrival,MCO Terminal,Disney Resort,night,weekend,27,82,89,2026-08-17 05:27:27
other,Disney Resort,Universal Resort,morning_rush,weekday,27,32,35,2026-07-31 20:25:24
cruise,Airport Hotel,Port Canaveral Area,midday,weekend,26,63,69,2026-07-31 20:25:26
cruise,MCO Terminal,Port Canaveral Area,afternoon,weekday,25,54,59,2026-07-31 20:25:26
cruise,MCO Terminal,Port Canaveral Area,afternoon,weekend,25,58,64,2026-07-31 20:25:26
arrival,MCO Terminal,Universal Resort,evening,weekday,24,59,75,2026-07-31 20:25:25
cruise,MCO Terminal,Port Canaveral Area,midday,weekday,24,59,75,2026-07-31 20:25:26
return,Universal Resort,MCO Terminal,midday,weekday,23,26,27,2026-07-31 20:25:24
return,Disney Resort,SFB Terminal,afternoon,weekday,23,66,76,2026-07-31 20:25:25
return,Universal Resort,MCO Terminal,early_morning,weekday,22,24,29,2026-07-31 20:25:24
return,Disney Resort,SFB Terminal,early_morning,weekday,22,58,62,2026-07-31 20:25:26
cruise,Port Canaveral Area,Disney Resort,morning_rush,weekend,22,75,81,2026-07-31 20:25:26
cruise,Disney Resort,Port Canaveral Area,midday,weekend,20,91,95,2026-07-31 20:25:24
