window,band,n,n_per_day,first_assign_in,first_assign_aff,re_place_in,re_place_aff,reassign(I->I),release(I->A),recapture(A->I),vendor_swap(A->A),pullback(I->U),pullback(A->U),other
CUR,>72h,1259,44.96,855,11,23,7,307,0,0,6,49,1,0
CUR,24-72h,3887,138.82,1644,227,156,133,1343,2,0,57,284,41,0
CUR,6-24h,2464,88.0,186,34,365,151,1215,3,3,24,412,71,0
CUR,1-6h,1076,38.43,31,10,147,80,581,4,4,3,201,15,0
CUR,<1h,187,6.68,6,1,24,24,89,5,1,1,32,4,0
CUR,after-pickup,49,1.75,1,2,11,7,9,1,0,0,18,0,0
PLAT,>72h,7924,62.39,4204,43,406,16,2700,4,2,1,535,13,0
PLAT,24-72h,12929,101.8,4075,170,944,159,6065,39,17,18,1394,46,2
PLAT,6-24h,9991,78.67,1108,600,1396,931,3781,69,44,60,1786,208,8
PLAT,1-6h,3249,25.58,98,43,779,211,1143,12,9,1,921,32,0
PLAT,<1h,1157,9.11,41,13,226,176,328,38,14,9,285,27,0
PLAT,after-pickup,185,1.46,4,6,37,9,57,12,7,2,44,5,2
