window,rung_hours,booked,inhouse,affiliate,unassigned,i_share_pct,i_share_all_pct,backfill
CUR,72,2716,868,20,1828,32.0,28.7,65
CUR,48,2817,1742,137,938,61.8,57.6,52
CUR,24,2924,2346,343,235,80.2,77.6,33
CUR,12,2989,2479,418,92,82.9,82.0,19
CUR,6,3005,2487,455,63,82.8,82.3,12
CUR,3,3013,2474,475,64,82.1,81.8,9
CUR,0,3023,2458,565,0,81.3,81.3,0
PLAT,72,10274,5130,78,5066,49.9,44.7,875
PLAT,48,10615,6840,148,3627,64.4,59.6,701
PLAT,24,11047,8697,393,1957,78.7,75.8,255
PLAT,12,11332,9351,1511,470,82.5,81.5,60
PLAT,6,11409,9377,1728,304,82.2,81.7,45
PLAT,3,11439,9366,1787,286,81.9,81.6,31
PLAT,0,11477,9314,2159,4,81.2,81.2,0
