scenario,gap,buf,policy,no_mint,limit_mode,date,base_inhouse_legs,after_inhouse_legs,total_legs,mints,standby_pool
sweep_g90_b5,90,5,free,0,,2026-07-24,79,84,99,5,9
sweep_g90_b5,90,5,free,0,,2026-07-25,104,106,125,1,12
sweep_g90_b5,90,5,free,0,,2026-07-26,92,93,126,2,12
sweep_g90_b5,90,5,free,0,,2026-07-27,70,70,74,3,12
sweep_g90_b5,90,5,free,0,,2026-07-28,55,55,55,0,14
sweep_g90_b5,90,5,free,0,,2026-07-29,63,63,65,1,14
sweep_g90_b5,90,5,free,0,,2026-07-30,71,74,85,1,11
sweep_g90_b5,90,5,free,0,,2026-07-31,89,99,114,1,8
sweep_g90_b5,90,5,free,0,,2026-08-01,117,132,167,9,10
sweep_g90_b5,90,5,free,0,,2026-08-02,91,100,127,6,11
sweep_g90_b5,90,5,free,0,,2026-08-03,87,88,104,1,9
sweep_g90_b5,90,5,free,0,,2026-08-04,74,76,83,2,12
sweep_g90_b5,90,5,free,0,,2026-08-05,88,89,102,4,10
sweep_g90_b5,90,5,free,0,,2026-08-06,75,83,97,8,10
sweep_g90_b5,90,5,free,0,,2026-08-07,96,106,124,5,9
sweep_g90_b5,90,5,free,0,,2026-08-08,116,124,167,7,9
sweep_g90_b5,90,5,free,0,,2026-08-09,90,104,139,4,9
sweep_g90_b5,90,5,free,0,,2026-08-10,90,97,112,1,9
sweep_g90_b5,90,5,free,0,,2026-08-11,71,75,83,3,12
sweep_g90_b5,90,5,free,0,,2026-08-12,79,81,89,2,12
sweep_g90_b5,90,5,free,0,,2026-08-13,96,97,103,5,9
sweep_g90_b5,90,5,free,0,,2026-08-14,99,102,117,4,10
sweep_g90_b5,90,5,free,0,,2026-08-15,131,140,155,4,10
sweep_g90_b5,90,5,free,0,,2026-08-16,114,116,155,4,9
sweep_g90_b5,90,5,free,0,,2026-08-17,97,102,116,2,8
sweep_g90_b5,90,5,free,0,,2026-08-18,80,82,88,0,10
sweep_g90_b5,90,5,free,0,,2026-08-19,68,70,72,3,10
sweep_g90_b5,90,5,free,0,,2026-08-20,76,77,80,1,8
sweep_g90_b30,90,30,free,0,,2026-07-24,79,83,99,5,9
sweep_g90_b30,90,30,free,0,,2026-07-25,104,104,125,1,12
sweep_g90_b30,90,30,free,0,,2026-07-26,92,94,126,4,12
sweep_g90_b30,90,30,free,0,,2026-07-27,70,70,74,3,12
sweep_g90_b30,90,30,free,0,,2026-07-28,55,55,55,0,14
sweep_g90_b30,90,30,free,0,,2026-07-29,63,63,65,1,14
sweep_g90_b30,90,30,free,0,,2026-07-30,71,73,85,1,11
sweep_g90_b30,90,30,free,0,,2026-07-31,89,94,114,2,8
sweep_g90_b30,90,30,free,0,,2026-08-01,117,127,167,10,10
sweep_g90_b30,90,30,free,0,,2026-08-02,91,98,127,7,11
sweep_g90_b30,90,30,free,0,,2026-08-03,87,88,104,1,9
sweep_g90_b30,90,30,free,0,,2026-08-04,74,76,83,2,12
sweep_g90_b30,90,30,free,0,,2026-08-05,88,88,102,4,10
sweep_g90_b30,90,30,free,0,,2026-08-06,75,81,97,8,10
sweep_g90_b30,90,30,free,0,,2026-08-07,96,103,124,4,9
sweep_g90_b30,90,30,free,0,,2026-08-08,116,123,167,7,9
sweep_g90_b30,90,30,free,0,,2026-08-09,90,99,139,4,9
sweep_g90_b30,90,30,free,0,,2026-08-10,90,95,112,1,9
sweep_g90_b30,90,30,free,0,,2026-08-11,71,75,83,3,12
sweep_g90_b30,90,30,free,0,,2026-08-12,79,81,89,2,12
sweep_g90_b30,90,30,free,0,,2026-08-13,96,97,103,5,9
sweep_g90_b30,90,30,free,0,,2026-08-14,99,102,117,5,10
sweep_g90_b30,90,30,free,0,,2026-08-15,131,136,155,4,10
sweep_g90_b30,90,30,free,0,,2026-08-16,114,116,155,4,9
sweep_g90_b30,90,30,free,0,,2026-08-17,97,100,116,3,8
sweep_g90_b30,90,30,free,0,,2026-08-18,80,80,88,0,10
sweep_g90_b30,90,30,free,0,,2026-08-19,68,70,72,3,10
sweep_g90_b30,90,30,free,0,,2026-08-20,76,77,80,1,8
sweep_g90_b45,90,45,free,0,,2026-07-24,79,83,99,5,9
sweep_g90_b45,90,45,free,0,,2026-07-25,104,104,125,1,12
sweep_g90_b45,90,45,free,0,,2026-07-26,92,94,126,4,12
sweep_g90_b45,90,45,free,0,,2026-07-27,70,70,74,3,12
sweep_g90_b45,90,45,free,0,,2026-07-28,55,55,55,0,14
sweep_g90_b45,90,45,free,0,,2026-07-29,63,63,65,1,14
sweep_g90_b45,90,45,free,0,,2026-07-30,71,72,85,1,11
sweep_g90_b45,90,45,free,0,,2026-07-31,89,93,114,2,8
sweep_g90_b45,90,45,free,0,,2026-08-01,117,125,167,10,10
sweep_g90_b45,90,45,free,0,,2026-08-02,91,97,127,7,11
sweep_g90_b45,90,45,free,0,,2026-08-03,87,88,104,1,9
sweep_g90_b45,90,45,free,0,,2026-08-04,74,76,83,2,12
sweep_g90_b45,90,45,free,0,,2026-08-05,88,88,102,4,10
sweep_g90_b45,90,45,free,0,,2026-08-06,75,80,97,8,10
sweep_g90_b45,90,45,free,0,,2026-08-07,96,103,124,4,9
sweep_g90_b45,90,45,free,0,,2026-08-08,116,121,167,7,9
sweep_g90_b45,90,45,free,0,,2026-08-09,90,99,139,5,9
sweep_g90_b45,90,45,free,0,,2026-08-10,90,95,112,2,9
sweep_g90_b45,90,45,free,0,,2026-08-11,71,75,83,3,12
sweep_g90_b45,90,45,free,0,,2026-08-12,79,81,89,2,12
sweep_g90_b45,90,45,free,0,,2026-08-13,96,96,103,5,9
sweep_g90_b45,90,45,free,0,,2026-08-14,99,102,117,5,10
sweep_g90_b45,90,45,free,0,,2026-08-15,131,135,155,4,10
sweep_g90_b45,90,45,free,0,,2026-08-16,114,116,155,4,9
sweep_g90_b45,90,45,free,0,,2026-08-17,97,100,116,4,8
sweep_g90_b45,90,45,free,0,,2026-08-18,80,80,88,0,10
sweep_g90_b45,90,45,free,0,,2026-08-19,68,70,72,3,10
sweep_g90_b45,90,45,free,0,,2026-08-20,76,77,80,1,8
sweep_g120_b5,120,5,free,0,,2026-07-24,79,84,99,5,9
sweep_g120_b5,120,5,free,0,,2026-07-25,104,106,125,1,12
sweep_g120_b5,120,5,free,0,,2026-07-26,92,93,126,2,12
sweep_g120_b5,120,5,free,0,,2026-07-27,70,70,74,3,12
sweep_g120_b5,120,5,free,0,,2026-07-28,55,55,55,0,14
sweep_g120_b5,120,5,free,0,,2026-07-29,63,63,65,1,14
sweep_g120_b5,120,5,free,0,,2026-07-30,71,73,85,1,11
sweep_g120_b5,120,5,free,0,,2026-07-31,89,98,114,1,8
sweep_g120_b5,120,5,free,0,,2026-08-01,117,131,167,9,10
sweep_g120_b5,120,5,free,0,,2026-08-02,91,100,127,6,11
sweep_g120_b5,120,5,free,0,,2026-08-03,87,87,104,0,9
sweep_g120_b5,120,5,free,0,,2026-08-04,74,76,83,2,12
sweep_g120_b5,120,5,free,0,,2026-08-05,88,89,102,4,10
sweep_g120_b5,120,5,free,0,,2026-08-06,75,82,97,6,10
sweep_g120_b5,120,5,free,0,,2026-08-07,96,105,124,4,9
sweep_g120_b5,120,5,free,0,,2026-08-08,116,124,167,7,9
sweep_g120_b5,120,5,free,0,,2026-08-09,90,104,139,4,9
sweep_g120_b5,120,5,free,0,,2026-08-10,90,97,112,1,9
sweep_g120_b5,120,5,free,0,,2026-08-11,71,75,83,3,12
sweep_g120_b5,120,5,free,0,,2026-08-12,79,80,89,1,12
sweep_g120_b5,120,5,free,0,,2026-08-13,96,97,103,5,9
sweep_g120_b5,120,5,free,0,,2026-08-14,99,102,117,4,10
sweep_g120_b5,120,5,free,0,,2026-08-15,131,140,155,4,10
sweep_g120_b5,120,5,free,0,,2026-08-16,114,116,155,4,9
sweep_g120_b5,120,5,free,0,,2026-08-17,97,102,116,2,8
sweep_g120_b5,120,5,free,0,,2026-08-18,80,82,88,0,10
sweep_g120_b5,120,5,free,0,,2026-08-19,68,70,72,3,10
sweep_g120_b5,120,5,free,0,,2026-08-20,76,77,80,1,8
sweep_g120_b30,120,30,free,0,,2026-07-24,79,83,99,5,9
sweep_g120_b30,120,30,free,0,,2026-07-25,104,104,125,1,12
sweep_g120_b30,120,30,free,0,,2026-07-26,92,94,126,4,12
sweep_g120_b30,120,30,free,0,,2026-07-27,70,70,74,3,12
sweep_g120_b30,120,30,free,0,,2026-07-28,55,55,55,0,14
sweep_g120_b30,120,30,free,0,,2026-07-29,63,63,65,1,14
sweep_g120_b30,120,30,free,0,,2026-07-30,71,73,85,1,11
sweep_g120_b30,120,30,free,0,,2026-07-31,89,93,114,2,8
sweep_g120_b30,120,30,free,0,,2026-08-01,117,127,167,10,10
sweep_g120_b30,120,30,free,0,,2026-08-02,91,98,127,7,11
