date,pool,worked_d1,rested,pm_feasible,pm_feasible_rested,same_day_pullins
2026-07-24,9,2,7,6,5,1
2026-07-25,12,5,7,10,6,0
2026-07-26,12,4,8,11,7,0
2026-07-27,12,3,9,12,9,1
2026-07-28,14,5,9,12,9,1
2026-07-29,14,4,10,12,9,0
2026-07-30,11,4,7,10,7,1
2026-07-31,8,2,6,6,5,1
2026-08-01,10,4,6,9,5,1
2026-08-02,11,3,8,9,7,1
2026-08-03,9,2,7,9,7,2
2026-08-04,12,3,9,12,9,1
2026-08-05,10,2,8,9,7,0
2026-08-06,10,2,8,8,8,2
2026-08-07,9,4,5,8,5,0
2026-08-08,9,2,7,7,6,0
2026-08-09,9,2,7,8,6,1
2026-08-10,9,4,5,9,5,3
2026-08-11,12,4,8,11,8,1
2026-08-12,12,3,9,11,8,0
2026-08-13,9,2,7,7,5,1
2026-08-14,10,5,5,9,4,0
2026-08-15,10,3,7,9,6,1
2026-08-16,9,1,8,8,7,0
2026-08-17,8,4,4,8,4,1
2026-08-18,10,4,6,10,6,0
2026-08-19,10,3,7,9,6,0
2026-08-20,8,1,7,6,5,1
