date,driver_id,leg_a,leg_b,band,slack_prod,slack_09,verdict_09,real
2026-07-24,26,28953,29656,tight,10,4.5,tight,1
2026-07-24,33,23801,29991,tight,8,27.5,,0
2026-07-24,33,26553,23801,tight,3,-0.6,hard,1
2026-07-24,38,29556,29895,critical,-12,12.5,tight,1
2026-07-24,48,26458,30039,tight,14,3.5,tight,1
2026-07-24,48,30039,29761,tight,10,5.2,tight,1
2026-07-24,51,25729,25533,critical,-22,-6.8,hard,1
2026-07-24,58,29657,28768,critical,-5,-10.5,hard,1
2026-07-24,58,29779,29657,tight,10,4.5,tight,1
2026-07-24,64,22218,29675,tight,1,20.5,,0
2026-07-25,26,21954,27597,tight,0,-9.8,hard,1
2026-07-25,26,27500,24503,tight,3,23.2,,0
2026-07-25,32,22038,28711,tight,0,20.2,,0
2026-07-25,32,27600,22038,tight,8,5.5,tight,1
2026-07-25,33,25753,23305,critical,-18,-27.8,hard,1
2026-07-25,33,26022,15260,tight,3,-1.8,hard,1
2026-07-25,48,28078,28717,tight,0,-9.8,hard,1
2026-07-25,48,28673,25915,tight,0,-9.8,hard,1
2026-07-25,48,28948,28673,tight,0,-9.8,hard,1
2026-07-25,52,8705,27655,tight,5,-4.8,hard,1
2026-07-25,52,23862,29408,tight,5,-4.8,hard,1
2026-07-25,52,25836,27566,tight,14,9.2,tight,1
2026-07-25,52,27655,25836,tight,6,19.4,,0
2026-07-25,53,16742,16302,critical,-2,-6.8,hard,1
2026-07-25,53,28642,25316,tight,10,23.4,,0
2026-07-25,55,28321,30014,critical,-15,-20.5,hard,1
2026-07-25,57,22831,23460,critical,-10,-13.6,hard,1
2026-07-25,58,24823,29423,tight,6,19.4,,0
2026-07-25,58,28202,28356,tight,5,-4.8,hard,1
2026-07-25,58,28356,28594,tight,5,18.4,,0
2026-07-25,58,28594,24823,tight,5,-9.8,hard,1
2026-07-25,59,29448,29167,tight,9,-8.5,hard,1
2026-07-25,59,29613,26228,critical,-13,-17.8,hard,1
2026-07-25,61,20465,25531,critical,-1,-5.8,hard,1
2026-07-25,61,23169,29996,critical,-24,-33.8,hard,1
2026-07-25,61,24589,28877,critical,-1,-5.8,hard,1
2026-07-25,61,28701,24589,critical,-10,-15.5,hard,1
2026-07-25,64,30472,27024,critical,-9,-14.4,hard,1
2026-07-25,66,21831,25596,tight,12,4.5,tight,1
2026-07-25,68,22000,27594,tight,5,-4.8,hard,1
2026-07-25,68,27890,22000,tight,10,0.2,tight,1
2026-07-26,26,17898,29802,tight,5,-4.8,hard,1
2026-07-26,26,24993,30371,critical,-1,18.5,,0
2026-07-26,26,28001,29447,tight,5,-4.8,hard,1
2026-07-26,26,29782,17898,tight,10,0.2,tight,1
2026-07-26,32,25263,23303,critical,-49,-28.8,hard,1
2026-07-26,32,29707,24970,tight,6,19.4,,0
2026-07-26,46,24888,29604,tight,6,1.2,tight,1
2026-07-26,46,28448,30640,tight,12,7.2,tight,1
2026-07-26,46,29400,24888,tight,6,-1.5,hard,1
2026-07-26,46,29604,28448,tight,7,1.5,tight,1
2026-07-26,51,29029,28700,critical,-11,-41.6,hard,1
2026-07-26,53,25867,30585,tight,0,-9.8,hard,1
2026-07-26,53,26146,28999,critical,-3,-7.8,hard,1
2026-07-26,53,29465,25867,tight,0,-9.8,hard,1
2026-07-26,54,16925,28442,tight,0,-9.8,hard,1
2026-07-26,54,21303,27827,tight,0,-9.8,hard,1
2026-07-26,55,29100,25945,tight,0,-9.8,hard,1
2026-07-26,56,16393,28667,tight,6,19.4,,0
2026-07-26,57,30470,30609,critical,-26,-56.6,hard,1
2026-07-26,57,30632,29030,tight,5,-4.8,hard,1
2026-07-26,59,23603,15087,critical,-10,5.2,tight,1
2026-07-26,61,28906,19977,tight,0,-9.8,hard,1
2026-07-26,64,17548,24599,tight,7,27.2,,0
2026-07-26,68,17585,23151,tight,0,-9.8,hard,1
2026-07-26,68,23151,30668,tight,13,33.2,,0
2026-07-27,26,28547,28842,critical,-82,-92.5,hard,1
2026-07-27,33,24642,28962,critical,-2,17.5,,0
2026-07-27,38,29282,30684,critical,-32,-11.8,hard,1
2026-07-27,46,29040,24202,tight,0,-9.8,hard,1
2026-07-27,51,24328,29522,tight,7,2.2,tight,1
2026-07-27,52,28165,29698,tight,5,-4.8,hard,1
2026-07-27,52,29698,25500,tight,5,20.2,,0
2026-07-27,54,30556,29456,tight,14,3.5,tight,1
2026-07-27,56,29557,26001,critical,-18,7.2,tight,1
2026-07-27,57,29780,29848,tight,9,4.2,tight,1
2026-07-27,57,29848,28975,tight,9,28.5,,0
2026-07-27,59,26475,27873,critical,-1,-34.6,hard,1
2026-07-27,64,30471,10447,critical,-10,-40.6,hard,1
2026-07-28,26,28289,27321,tight,8,-25.6,hard,1
2026-07-28,32,29381,19101,critical,-12,-21.8,hard,1
2026-07-28,46,27057,20978,tight,0,-9.8,hard,1
2026-07-28,51,31079,29207,tight,10,-36.6,hard,1
