date,vehicle_id,leg_id,driver_id,pickup,kind,ok_engine,ok_warn,ok_mint,warn_codes
2026-07-25,7,28202,58,06:30,OTHER,1,1,1,
2026-07-25,7,28356,58,08:00,OTHER,1,1,1,
2026-07-25,7,28594,58,09:45,OTHER,1,1,1,
2026-07-25,7,24823,58,10:45,OTHER,1,1,1,
2026-07-25,7,29423,58,13:15,OTHER,1,1,1,
2026-07-25,7,27716,58,15:00,OTHER,1,1,1,
2026-07-25,7,27846,58,16:05,OTHER,1,1,1,
2026-07-25,7,25573,62,18:45,OTHER,1,1,1,
2026-07-25,7,23185,62,19:50,OTHER,1,1,1,
2026-07-25,7,30627,62,22:15,OTHER,1,1,1,
2026-07-26,6,29029,51,09:15,OTHER,1,1,1,
2026-07-26,6,28700,51,10:00,OTHER,1,1,1,
2026-07-26,6,30546,51,11:45,OTHER,0,0,0,share_overlap
2026-07-26,6,27093,58,12:57,OTHER,0,0,0,share_overlap
2026-07-26,6,28043,58,15:15,OTHER,1,1,1,
2026-07-26,6,29390,58,16:55,OTHER,1,1,1,
2026-07-26,6,30104,58,19:57,OTHER,1,1,1,
2026-07-27,16,29780,57,09:00,OTHER,1,1,1,
2026-07-27,16,29848,57,09:29,OTHER,1,1,1,
2026-07-27,16,28975,57,12:30,OTHER,1,1,1,
2026-07-27,16,26930,57,14:45,OTHER,1,1,1,
2026-07-27,16,30621,57,15:52,OTHER,1,1,1,
2026-07-27,16,27336,59,19:30,OTHER,1,1,1,
2026-07-27,16,26475,59,21:15,OTHER,1,1,1,
2026-07-27,16,27873,59,21:51,OTHER,1,1,1,
2026-07-28,7,29410,54,09:26,OTHER,1,1,1,
2026-07-28,7,26229,54,14:00,OTHER,1,1,1,
2026-07-28,7,24172,54,16:00,OTHER,0,0,0,share_overlap
2026-07-28,7,30975,62,17:18,OTHER,0,0,0,share_overlap
2026-07-28,7,22449,62,20:28,OTHER,1,1,1,
2026-07-30,7,29594,48,06:14,OTHER,1,1,1,
2026-07-30,7,17620,48,08:23,OTHER,1,1,1,
2026-07-30,7,28954,48,10:30,OTHER,1,1,1,
2026-07-30,7,29020,48,12:30,OTHER,1,1,1,
2026-07-30,7,30825,48,15:01,OTHER,1,1,1,
2026-07-30,7,30577,58,18:11,OTHER,1,1,1,
2026-07-30,7,28595,58,20:07,OTHER,1,1,1,
2026-07-30,7,18884,58,22:07,OTHER,1,1,1,
2026-07-30,11,28732,54,06:00,OTHER,1,1,1,
2026-07-30,11,25879,54,07:30,OTHER,1,1,1,
2026-07-30,11,31159,54,09:53,OTHER,1,1,1,
2026-07-30,11,30015,54,12:00,OTHER,1,1,1,
2026-07-30,11,26528,38,15:41,OTHER,1,1,1,
2026-07-30,11,30662,38,18:30,OTHER,1,1,1,
2026-07-30,11,29921,38,22:45,OTHER,1,1,1,
2026-07-30,15,29920,55,18:00,OTHER,1,1,1,
2026-07-30,15,26569,55,19:54,OTHER,1,1,1,
2026-07-30,15,30349,55,22:14,OTHER,1,1,1,
2026-07-30,15,29285,52,09:00,OTHER,1,1,1,
2026-07-30,15,30889,52,09:49,OTHER,1,1,1,
2026-07-30,15,19946,52,11:45,OTHER,1,1,1,
2026-07-30,15,29732,52,14:27,OTHER,1,1,1,
2026-07-31,5,30107,53,06:00,OTHER,1,1,1,
2026-07-31,5,29389,53,07:15,OTHER,1,1,1,
2026-07-31,5,15880,53,09:00,OTHER,0,0,1,share_overlap
2026-07-31,5,23863,54,11:15,OTHER,0,0,1,share_overlap
2026-07-31,5,28278,54,13:45,OTHER,1,1,1,
2026-07-31,5,29844,54,14:24,OTHER,1,1,1,
2026-07-31,5,28702,54,16:30,OTHER,1,1,1,
2026-07-31,5,25953,54,18:10,OTHER,1,1,1,
2026-07-31,5,29948,54,20:29,OTHER,1,1,1,
2026-07-31,8,31389,55,05:59,OTHER,1,1,1,
2026-07-31,8,26613,55,07:30,OTHER,1,1,1,
2026-07-31,8,27824,55,09:00,OTHER,1,1,1,
2026-07-31,8,31500,55,11:07,OTHER,1,1,1,
2026-07-31,8,30685,55,13:00,OTHER,1,1,1,
2026-07-31,8,29699,38,16:15,OTHER,1,1,1,
2026-07-31,8,31176,38,17:32,OTHER,1,1,1,
2026-07-31,8,29880,38,20:01,OTHER,1,1,1,
2026-07-31,8,31503,38,21:45,OTHER,1,1,1,
2026-07-31,1,31343,58,14:30,OTHER,1,1,1,
2026-07-31,1,25907,58,19:40,OTHER,1,1,1,
2026-07-31,1,29663,58,21:51,OTHER,1,1,1,
2026-07-31,1,26297,26,07:30,OTHER,1,1,1,
2026-07-31,1,31512,26,09:15,OTHER,1,1,1,
2026-07-31,1,26991,26,10:48,OTHER,1,1,1,
