date,k,draw,removed_driver_ids,driver_days,farm_outs,farm_cost,quality,span_pressure,fairness,handoff_amber,handoff_red,idle_gap_h,cost_fallback_legs,wall_s
2026-08-10,15,0,,15,14,750.0,12.378,0.0,1.928,0,0,20.9,0,4.7
2026-08-10,14,0,26,14,17,900.0,11.4,0.0,2.042,0,1,18.72,0,4.7
2026-08-10,14,1,33,14,14,815.0,8.957,0.02,1.732,0,0,14.42,0,5.5
2026-08-10,14,2,46,14,17,955.0,10.14,0.0,2.273,0,1,15.73,0,5.3
2026-08-10,14,3,51,14,14,815.0,8.856,0.0,1.648,0,0,14.42,0,4.9
2026-08-10,14,4,54,14,19,1050.0,10.863,1.22,1.913,0,1,15.47,0,7.2
2026-08-10,14,5,57,14,19,1065.0,11.372,0.0,2.022,0,0,18.7,0,4.6
2026-08-10,14,6,62,14,17,1015.0,10.867,0.0,1.934,0,1,17.87,0,4.9
2026-08-10,14,7,66,14,19,940.0,10.825,1.22,1.875,0,1,15.47,0,6.4
2026-08-10,13,0,26;33,13,17,955.0,8.41,1.63,2.126,0,0,9.3,0,9.0
2026-08-10,13,1,26;68,13,23,1350.0,10.932,1.22,2.107,0,1,15.22,0,8.0
2026-08-10,13,2,33;68,13,18,1025.0,8.88,0.0,1.671,0,0,14.42,0,6.3
2026-08-10,13,3,46;50,13,18,980.0,9.538,0.0,1.671,0,1,15.73,0,4.9
2026-08-10,13,4,50;54,13,20,1075.0,11.672,1.22,1.439,0,1,18.03,0,7.4
2026-08-10,13,5,51;62,13,18,1025.0,10.054,0.67,1.804,0,0,15.17,0,5.7
2026-08-10,13,6,54;57,13,24,1345.0,10.018,1.22,2.118,0,1,13.37,0,6.1
2026-08-10,13,7,57;62,13,23,1290.0,10.582,0.77,2.107,0,1,15.42,0,4.0
2026-08-10,12,0,26;33;38,12,27,1475.0,8.573,0.0,1.656,0,0,13.83,0,1.4
2026-08-10,12,1,26;53;56,12,28,1395.0,12.19,1.22,2.415,1,0,13.12,0,5.3
2026-08-10,12,2,33;46;68,12,22,1235.0,8.562,0.77,2.062,0,0,11.47,0,7.3
2026-08-10,12,3,38;46;51,12,28,1555.0,8.55,0.0,1.633,0,0,13.83,0,1.3
2026-08-10,12,4,38;59;66,12,36,1915.0,11.83,1.22,2.055,1,0,13.12,0,1.5
2026-08-10,12,5,46;62;64,12,28,1485.0,12.392,0.0,2.0,1,1,16.78,0,4.1
2026-08-10,12,6,51;53;66,12,22,980.0,9.39,0.67,1.848,0,0,13.75,0,7.8
2026-08-10,12,7,53;66;68,12,28,1325.0,10.805,1.22,2.38,1,0,10.42,0,7.9
2026-08-10,11,0,26;33;38;46,11,32,1720.0,7.471,0.0,1.863,0,0,11.22,0,1.9
2026-08-10,11,1,26;46;53;68,11,32,1550.0,12.157,1.22,2.632,1,0,12.62,0,8.8
2026-08-10,11,2,26;56;64;66,11,34,1620.0,11.856,1.98,2.539,1,0,10.67,0,4.5
2026-08-10,11,3,33;50;56;62,11,24,1130.0,9.246,2.65,1.279,0,0,10.63,0,4.4
2026-08-10,11,4,38;46;54;66,11,39,2035.0,13.015,1.98,2.307,1,0,13.45,0,1.6
2026-08-10,11,5,38;57;59;68,11,41,1955.0,10.447,1.98,2.231,1,0,8.47,0,2.3
2026-08-10,11,6,46;57;64;68,11,35,1835.0,9.128,1.48,2.486,0,1,10.32,0,5.8
2026-08-10,11,7,51;54;59;62,11,30,1505.0,6.224,0.93,1.924,0,0,6.73,0,9.3
2026-08-15,17,0,,17,22,1040.0,10.672,4.13,1.947,1,0,5.18,0,18.0
2026-08-15,16,0,26,16,26,1340.0,9.225,2.82,1.6,1,0,5.62,0,21.4
2026-08-15,16,1,33,16,24,1290.0,12.262,4.13,1.704,1,0,8.85,0,16.7
2026-08-15,16,2,50,16,27,1430.0,9.166,2.82,1.541,1,0,5.62,0,18.1
2026-08-15,16,3,55,16,27,1430.0,9.166,2.82,1.541,1,0,5.62,0,18.1
2026-08-15,16,4,57,16,19,760.0,8.814,4.58,1.173,0,0,6.12,0,16.3
2026-08-15,16,5,59,16,24,1115.0,9.657,4.22,2.157,0,1,6.57,0,18.3
2026-08-15,16,6,62,16,25,1255.0,11.574,3.53,1.691,1,0,8.7,0,17.4
2026-08-15,16,7,66,16,19,760.0,8.814,4.58,1.173,0,0,6.12,0,15.3
2026-08-15,15,0,26;32,15,34,1790.0,6.206,2.43,1.289,0,1,4.97,0,17.1
2026-08-15,15,1,32;48,15,34,1790.0,6.773,1.63,1.181,0,1,7.92,0,20.5
2026-08-15,15,2,33;55,15,34,1790.0,8.636,2.52,1.436,1,0,5.37,0,17.3
2026-08-15,15,3,48;59,15,31,1650.0,9.8,3.8,1.692,0,1,8.62,0,15.7
2026-08-15,15,4,50;68,15,30,1455.0,7.304,3.22,2.087,1,0,0.0,0,16.8
2026-08-15,15,5,55;61,15,34,1790.0,8.344,2.07,1.569,1,0,5.42,0,14.9
2026-08-15,15,6,57;61,15,26,1340.0,5.644,3.22,0.952,0,0,2.95,0,14.5
2026-08-15,15,7,59;68,15,30,1395.0,5.389,3.37,2.022,0,1,0.0,0,16.0
2026-08-15,14,0,26;32;33,14,38,1780.0,9.858,5.18,2.524,0,0,4.3,0,14.1
2026-08-15,14,1,26;57;59,14,32,1610.0,6.253,3.63,1.145,0,0,2.95,0,18.6
2026-08-15,14,2,32;55;56,14,41,1915.0,6.753,2.88,1.187,0,1,5.37,0,13.1
2026-08-15,14,3,33;53;61,14,39,2065.0,7.236,2.45,1.436,1,0,2.7,0,11.9
2026-08-15,14,4,48;55;57,14,32,1475.0,6.029,1.32,1.013,0,0,7.4,0,17.2
2026-08-15,14,5,50;57;59,14,32,1610.0,6.189,3.63,1.081,0,0,2.95,0,18.3
2026-08-15,14,6,53;64;68,14,39,1905.0,8.498,3.38,1.906,1,0,2.42,0,17.6
2026-08-15,14,7,56;68;69,14,37,1910.0,8.537,3.05,1.545,1,0,3.88,0,19.1
2026-08-15,13,0,26;32;33;48,13,45,2020.0,11.494,4.78,2.561,1,0,4.3,0,13.7
2026-08-15,13,1,26;50;56;59,13,47,2240.0,5.604,0.88,1.488,1,0,2.47,0,18.7
2026-08-15,13,2,32;33;53;69,13,47,2240.0,9.157,2.05,2.398,1,0,5.42,0,13.8
2026-08-15,13,3,32;55;66;68,13,37,1815.0,6.834,4.08,1.542,0,0,2.42,0,15.9
