date,legs,stateb_cov,stateb_dd,base_cov,base_dd,base_farm,base_cost,base_span_pressure,plan_cov,plan_dd,plan_farm,plan_cost,plan_span_pressure,criteria
2026-07-25,125,83.2,15,82.4,15,22,1530.0,1.07,82.4,15,22,1530.0,1.07,Y Y Y Y Y Y Y Y Y Y
2026-07-28,55,100.0,13,100.0,12,0,0.0,0.0,100.0,12,0,0.0,0.0,Y Y Y Y Y Y Y Y Y Y
2026-07-31,114,78.1,18,86.8,17,15,1171.98,0.88,86.8,17,15,1171.98,0.88,Y Y Y Y Y Y Y Y Y Y
2026-08-03,104,83.7,16,78.8,14,22,1205.0,0.65,79.8,14,21,1090.0,1.07,Y Y Y Y Y Y Y Y Y Y
2026-08-06,97,77.3,16,80.4,14,19,935.0,1.5,80.4,14,19,935.0,1.5,Y Y Y Y Y Y Y Y Y Y
2026-08-10,112,80.4,16,84.8,15,17,1015.0,0.0,84.8,15,17,1015.0,0.0,Y Y Y Y Y Y Y Y Y Y
2026-08-13,103,93.2,17,90.3,17,10,370.0,3.07,90.3,16,10,370.0,4.97,Y Y Y Y Y Y Y Y Y Y
2026-08-16,155,73.5,17,74.8,17,39,2955.0,3.68,74.8,17,39,2955.0,3.68,Y Y Y Y Y Y Y Y Y Y
2026-08-19,72,94.4,15,95.8,15,3,130.0,0.0,97.2,15,2,50.0,0.0,Y Y Y Y Y Y Y Y Y Y
2026-08-22,186,78.5,19,76.3,17,44,2529.95,3.17,77.4,17,42,2704.95,4.77,Y Y Y Y Y Y Y Y Y Y
