date,leg_id,pickup,trip_type,vclass,route,human_driver_id,driver,unit,cause,flags,saved_window,stub_window,cap,real_span_raw,real_span_eff,real_turn_buffer,real_turn_reason,clock_defaults,share_partner,rest,retime_min,retime_ref,eng_fit,eng_reason,eng_nearby,eng_legs,real_legs,in_addition,planned_hours,arrive_min,arrive_quality,next_leg_id,next_booked,next_arrive_min,next_arrive_quality,tapped_date,why,why_window,why_class,why_share,why_span,why_policy,why_split,clear
2026-08-03,15932,12:00 PM,cruise,van,"Disney's Wilderness Lodge, … → Royal Caribbean Port Canave…",57,Seline,#11 Van(14 Pax),HUMAN_TIGHT_TURN,HUMAN_TIGHT_TURN,flexible,3–23 max 17h,15.0,11.2,11.2,-55,"Needs 55 more min. Previous job ends ~12:20 PM, +35min turnaround required.",the previous job's own drive priced at the 35-min default (MCO Terminal to Other is not in the table); a flat 45-min dwell on the previous arrival; the reposition priced at the 35-min default (Other to Disney Resort is not in the table),,,0,as of the night before,False,"Needs 60 more min. Previous job ends ~12:30 PM, +30min turnaround required.",9:00 AM return L25211; 10:00 AM return L32326; 10:27 AM arrival L31466*; 12:00 PM return L29162; 12:42 PM arrival L24997,9,6,False,,-12,ok,25174,2:33 PM,20,ok,True,,,,,,,,13:14
2026-08-03,28295,11:09 AM,arrival,mini_van,Orlando International Airpo… → Disney's Caribbean Beach Re…,59,Aftab,#10 mini_van,ENGINE_FILLED_DIFF,ENGINE_FILLED_DIFF,flexible,1–23 max 20h,14.0,11.4,9.0,49,49min buffer,,,,0,as of the night before,False,"Needs 49 more min. Previous job ends ~11:28 AM, +30min turnaround required.",9:00 AM cruise L27825; 10:13 AM arrival L27858; 12:00 PM return L21300,6,6,False,,15,ok,30777,3:00 PM,23,ok,True,,,,,,,,12:34
2026-08-03,28553,9:04 AM,arrival,van,Orlando International Airpo… → Disney's Old Key West Resort,57,Seline,#11 Van(14 Pax),ENGINE_FILLED_DIFF,ENGINE_FILLED_DIFF,flexible,3–23 max 17h,15.0,11.2,11.2,14,14min buffer,,,,9,as of the night before,False,"Needs 11 more min. Previous job ends ~9:25 AM, +-10min turnaround required.",7:45 AM other L29579; 9:00 AM return L25211; 10:00 AM return L32326; 10:27 AM arrival L31466*; 12:00 PM return L29162,9,6,False,,-5,ok,32317,11:00 AM,-2,ok,True,,,,,,,,10:28
2026-08-03,29124,11:50 PM,arrival,towncar,Sanford Int Airport → Disney's Animal Kingdom Lod…,64,Raymond,#14 suv,SPLIT_HALF_IGNORED,SPLIT_HALF_IGNORED,flexible,7–23 max 15h,15.0,7.3,4.9,82,82min buffer,,ernesto,n,27,as of the night before,False,Outside driver window: day span 17.6h > max_hours 15.0,,6,3,False,,,none,,,,,True,,,,,,,"the team used him only 6:23 PM–11:50 PM on shared #14 suv (planned hours on the car row: never set); the engine gave him 5 job(s) outside that half, first at 8:00 AM, and stripping them makes this trip fit",01:39
2026-08-03,29723,8:30 AM,other,towncar,Comfort Inn & Suites Orland… → Disney's Contemporary Resor…,66,Francisco Pedraza,#009 suv,ENGINE_FILLED_DIFF,ENGINE_FILLED_DIFF,flexible,,15.0,11.6,7.3,171,171min buffer,,,,0,as of the night before,False,"Needs 55 more min. Previous job ends ~9:00 AM, +25min turnaround required.",8:30 AM return L27298; 9:14 AM arrival L29474*; 11:30 AM cruise L27659,7,5,False,,-3,ok,32052,10:03 AM,5,ok,True,,,,,,,,09:32
2026-08-03,31041,5:41 PM,arrival,towncar,Orlando International Airpo… → Disney's All-Star Sports Re…,54,Steven Kleisath,#007 suv,HUMAN_TIGHT_TURN,HUMAN_TIGHT_TURN,flexible,0–23 max 16h,15.0,12.1,12.1,-3,Conflicts with next job at 7:30 PM.,a flat 45-min dwell on the previous arrival,,,393,as of the night before,False,"Needs 11 more min. Previous job ends ~5:22 PM, +30min turnaround required.",4:07 PM arrival L31823; 6:30 PM return L31647; 7:33 PM arrival L31016,7,7,False,,0,ok,22811,7:30 PM,-12,ok,True,,,,,,,,19:43
2026-08-03,31291,7:02 PM,arrival,van,Orlando International Airpo… → The Cabins at Disney's Fort…,38,Angel Almanzar,#005 van,WINDOW_PICKUP,WINDOW_PICKUP,6:00–18:59,2–23 max 16h,15.0,15.9,12.6,86,86min buffer,,,,18,as of the night before,False,Outside driver window: clears 21:07 after clear-by 18:00,,4,5,False,,34,ok,30092,11:27 PM,-91,ok,True,,pickup 7:02 PM is outside his saved window 6:00–18:59,,,,,,21:07
2026-08-03,31443,9:35 AM,arrival,van,Orlando International Airpo… → Disney's Animal Kingdom Lod…,51,David Encarancion,#008 Van(14 Pax),ENGINE_FILLED_DIFF,ENGINE_FILLED_DIFF,flexible,0–23 max 24h,15.0,13.0,13.0,28,28min buffer,,,,-5,as of the night before,False,"Needs 100 more min. Previous job ends ~10:45 AM, +30min turnaround required.",8:00 AM cruise L25634; 9:30 AM arrival L23049*; 11:00 AM cruise L23025,7,6,False,,17,ok,31138,11:45 AM,-41,ok,True,,,,,,,,10:59
2026-08-03,31796,5:55 PM,arrival,towncar,Orlando International Airpo… → Caribe Royale Orlando,59,Aftab,#10 mini_van,ENGINE_FILLED_DIFF,ENGINE_FILLED_DIFF,flexible,1–23 max 20h,14.0,11.4,9.0,35,35min buffer,,,,37,as of the night before,False,Conflicts with next job at 6:27 PM.,5:30 PM return L30003; 6:27 PM arrival L29902,6,6,False,,29,ok,,,,,True,,,,,,,,19:57
2026-08-03,32026,10:37 AM,arrival,suv,"Orlando International Airpo… → Universal’s Aventura Hotel,…",46,Yovanny Suarez,#001 suv,HUMAN_TIGHT_TURN,HUMAN_TIGHT_TURN,6:00–18:59,6–20 max 14h,14.0,9.9,9.9,-15,Conflicts with next job at 12:00 PM.,a flat 45-min dwell on the previous arrival,,,-3,as of the night before,False,"Needs 63 more min. Previous job ends ~11:10 AM, +30min turnaround required.",8:30 AM return L21814; 9:55 AM arrival L31942*; 11:54 AM arrival L30956,7,6,False,,-9,ok,29162,12:00 PM,-14,ok,True,,,,,,,,11:56
2026-08-03,32052,10:03 AM,arrival,towncar,Orlando International Airpo… → Disney's Pop Century Resort…,66,Francisco Pedraza,#009 suv,ENGINE_FILLED_DIFF,ENGINE_FILLED_DIFF,flexible,,15.0,11.6,7.3,34,34min buffer,,,,-4,as of the night before,False,"Needs 46 more min. Previous job ends ~10:24 AM, +25min turnaround required.",8:30 AM return L27298; 9:14 AM arrival L29474*; 11:30 AM cruise L27659,7,5,False,,5,ok,21300,12:00 PM,-11,ok,True,,,,,,,,11:28
