date,legs,human_in,human_dd,engine_in,engine_dd,engine_in_with_additions,lost,gained,net,human_over_13_5,human_over_15,engine_over_13_5,engine_over_15,engine_idle_roster,team_drivers_not_on_engine_roster,legs_tapped,plan_refused,baseline_s,plan_s
2026-08-03,104,87,16,85,14,,12,10,-2,0,0,1,0,0,2,96,,10.2,92.5
2026-08-13,103,96,17,96,17,,5,5,0,2,2,2,0,0,0,93,,3.0,23.5
2026-08-14,117,99,16,105,16,106,5,11,6,1,1,2,0,0,0,109,,5.8,42.0
2026-08-15,155,131,18,133,17,139,14,16,2,5,3,5,0,0,1,143,,16.6,104.8
2026-08-16,155,114,17,118,17,,15,19,4,3,3,4,0,0,0,150,,18.6,115.0
2026-08-17,116,97,17,104,17,,10,17,7,1,0,1,0,0,0,109,,6.3,67.7
2026-08-18,88,80,15,82,15,83,3,5,2,0,0,0,0,0,0,80,,5.2,36.2
2026-08-19,72,68,15,70,15,,1,3,2,0,0,0,0,0,0,67,,2.5,16.0
2026-08-20,80,76,18,76,16,77,3,3,0,0,0,0,0,1,1,73,,4.3,37.1
2026-08-21,122,106,18,104,15,,12,10,-2,2,0,4,0,3,0,103,No admissible plan could be built for this day.,10.9,70.1
2026-08-22,186,146,19,155,17,,14,23,9,9,1,5,0,1,1,0,,35.7,192.9
