date,trips,real_board_in_house,A_kept,A_cov,A_drivers,A_over_13_5,C_kept,C_cov,C_drivers,C_over_13_5,C_over_15,C_longest_h,ceiling_gain,cars_over_13_5,cars_splittable,cars_stuck,extra_bodies_needed
2026-08-03,104,87,85,81.7,14,2,89,85.6,14,7,5,21.9,4,7,7,0,7
2026-08-13,103,96,96,93.2,17,2,97,94.2,17,7,2,21.6,1,7,7,0,7
2026-08-14,117,99,105,89.7,16,2,105,89.7,16,7,5,19.6,0,8,8,0,8
2026-08-15,155,131,133,85.8,17,5,137,88.4,17,7,5,20.1,4,8,8,0,8
2026-08-16,155,114,118,76.1,17,4,119,76.8,17,4,2,20.3,1,4,3,1,3
2026-08-17,116,97,104,89.7,17,1,106,91.4,17,4,1,17.8,2,5,5,0,5
2026-08-18,88,80,82,93.2,15,0,82,93.2,15,1,1,17.4,0,1,1,0,1
2026-08-19,72,68,70,97.2,15,0,71,98.6,15,4,4,18.3,1,4,4,0,4
2026-08-20,80,76,76,95.0,17,0,76,95.0,17,1,1,15.0,0,3,3,0,3
2026-08-21,122,106,104,85.2,15,4,107,87.7,16,5,4,20.6,3,5,5,0,5
2026-08-22,186,146,154,82.8,17,2,155,83.3,18,8,3,17.7,1,10,9,1,9
