date,vehicle,legs,first,last,span_h,eff_h,over_13_5,over_15,best_gap_min,best_gap_band,cut_at,am_h,pm_h,split_legal,split_reason
2026-08-03,#001,8,5:40 AM,7:30 PM,14.4,12.4,True,False,168,green,7:30 PM,11.8,0.6,True,
2026-08-03,#002,4,9:00 AM,5:58 PM,10.6,8.4,False,False,162,green,2:27 PM,3.2,5.1,True,
2026-08-03,#005,6,7:05 AM,7:20 PM,13.9,13.9,True,False,151,green,4:02 PM,7.0,5.0,True,
2026-08-03,#006,8,4:00 AM,5:41 PM,15.7,13.3,True,True,145,green,8:30 AM,2.0,11.2,True,
2026-08-03,#007,7,5:30 AM,9:00 PM,16.0,13.1,True,True,175,green,5:00 PM,8.6,4.5,True,
2026-08-03,#008,6,8:00 AM,5:37 PM,11.7,11.7,False,False,81,amber,5:37 PM,8.6,2.0,True,
2026-08-03,#009,7,8:00 AM,7:33 PM,13.2,13.2,False,False,97,amber,1:30 PM,3.9,7.7,True,
2026-08-03,#10,7,8:30 AM,11:27 PM,16.4,13.1,True,True,224,green,11:27 PM,11.6,1.4,True,
2026-08-03,#11,6,8:30 AM,5:05 PM,10.6,10.6,False,False,99,amber,2:33 PM,4.7,4.6,True,
2026-08-03,#12,9,4:30 AM,7:02 PM,16.6,14.2,True,True,147,green,7:02 PM,12.1,2.1,True,
2026-08-03,#13,8,3:45 AM,11:50 PM,21.9,18.0,True,True,171,green,5:55 PM,11.9,7.7,True,
2026-08-03,#14,7,9:00 AM,7:33 PM,11.9,11.9,False,False,116,amber,4:07 PM,5.3,4.8,True,
2026-08-03,#15,6,8:30 AM,7:00 PM,10.7,8.5,False,False,160,green,2:20 PM,3.6,4.9,True,
2026-08-13,#001,4,7:45 AM,2:00 PM,6.9,6.9,False,False,93,amber,2:00 PM,4.8,0.6,True,
2026-08-13,#002,8,8:00 AM,7:42 PM,13.8,13.8,True,False,84,amber,3:10 PM,5.9,6.6,True,
2026-08-13,#003,5,5:00 AM,12:52 PM,9.3,9.3,False,False,123,amber,12:52 PM,6.4,1.4,True,
2026-08-13,#004,8,5:20 AM,8:02 PM,16.8,14.4,True,True,151,green,4:38 PM,8.9,5.5,True,
2026-08-13,#005,11,5:30 AM,11:52 PM,21.6,21.6,True,True,84,amber,3:29 PM,8.6,11.6,True,
2026-08-13,#006,9,9:00 AM,10:04 PM,14.7,14.7,True,False,110,amber,2:45 PM,4.5,9.0,True,
2026-08-13,#007,4,8:14 AM,8:03 PM,13.5,8.5,False,False,358,green,8:03 PM,5.7,1.7,True,
2026-08-13,#009,5,9:35 AM,3:00 PM,6.0,6.0,False,False,0,,,,,False,no gap on this car clears the wash/fuel/base chain
2026-08-13,#10,7,8:00 AM,8:42 PM,14.4,12.2,True,False,133,green,8:42 PM,10.5,1.7,True,
2026-08-13,#11,6,9:00 AM,9:30 PM,13.0,10.9,False,False,126,amber,12:00 PM,0.9,10.0,True,
2026-08-13,#13,9,8:30 AM,9:42 PM,14.9,14.9,True,False,103,amber,9:42 PM,11.9,1.7,True,
2026-08-13,#14,4,9:00 AM,1:54 PM,6.3,6.3,False,False,0,,,,,False,no gap on this car clears the wash/fuel/base chain
2026-08-13,#15,6,9:12 AM,10:12 PM,14.9,14.9,True,False,123,amber,12:31 PM,1.4,11.6,True,
2026-08-13,#16,6,8:56 AM,8:00 PM,12.7,10.6,False,False,130,green,8:00 PM,8.9,1.7,True,
2026-08-13,#17,5,8:54 AM,4:00 PM,7.7,7.7,False,False,110,amber,4:00 PM,5.8,0.6,True,
2026-08-14,#001,7,4:00 AM,6:19 PM,15.7,11.2,True,True,265,green,9:00 AM,0.6,10.7,True,
2026-08-14,#002,8,8:31 AM,10:49 PM,16.0,13.1,True,True,175,green,6:00 PM,6.6,6.5,True,
2026-08-14,#003,7,3:30 AM,2:30 PM,12.7,10.2,False,False,145,green,6:30 AM,0.5,9.7,True,
2026-08-14,#004,5,7:45 AM,6:28 PM,12.4,8.8,False,False,244,green,6:28 PM,7.1,1.7,True,
2026-08-14,#005,7,6:45 AM,7:21 PM,14.3,14.3,True,False,107,amber,6:15 PM,10.1,2.8,True,
2026-08-14,#006,8,8:00 AM,10:28 PM,15.6,12.0,True,True,175,green,5:30 PM,6.6,6.1,True,
2026-08-14,#007,9,7:45 AM,9:16 PM,15.9,15.9,True,True,120,amber,7:30 PM,10.8,4.1,True,
2026-08-14,#009,8,7:30 AM,6:41 PM,11.5,9.0,False,False,156,green,6:41 PM,8.6,0.3,True,
2026-08-14,#10,6,7:30 AM,3:00 PM,8.1,8.1,False,False,126,amber,3:00 PM,5.7,0.6,True,
2026-08-14,#11,7,7:52 AM,8:20 PM,14.2,14.2,True,False,108,green,5:23 PM,7.8,4.7,True,
2026-08-14,#13,8,2:45 AM,8:17 PM,19.6,15.6,True,True,106,amber,1:55 PM,9.9,8.4,True,
2026-08-14,#14,7,4:00 AM,7:26 PM,17.1,13.4,True,True,240,green,7:26 PM,11.7,1.7,True,
2026-08-14,#15,6,9:45 AM,8:06 PM,12.0,12.0,False,False,105,amber,8:06 PM,9.0,1.7,True,
2026-08-14,#16,7,7:45 AM,5:30 PM,11.4,9.2,False,False,130,green,5:30 PM,7.6,1.6,True,
2026-08-14,#17,5,8:11 AM,2:28 PM,8.3,8.3,False,False,80,amber,11:40 AM,2.2,4.8,True,
2026-08-15,#001,8,6:00 AM,7:58 PM,15.6,15.6,True,True,100,amber,6:05 PM,11.7,3.5,True,
2026-08-15,#002,10,6:16 AM,10:15 PM,17.1,15.0,True,True,48,amber,1:53 PM,6.8,9.5,True,
2026-08-15,#003,8,5:00 AM,4:52 PM,13.6,13.6,True,False,115,green,7:30 AM,0.5,11.1,True,
2026-08-15,#004,8,6:00 AM,6:00 PM,12.6,12.6,False,False,85,amber,8:00 AM,0.5,10.6,True,
2026-08-15,#005,11,6:30 AM,10:32 PM,17.2,14.3,True,True,204,green,10:32 PM,13.1,1.2,True,
2026-08-15,#006,8,9:00 AM,6:02 PM,10.6,10.6,False,False,43,amber,10:18 AM,0.8,9.3,True,
2026-08-15,#007,8,8:00 AM,6:48 PM,12.4,12.4,False,False,0,,,,,False,no gap on this car clears the wash/fuel/base chain
2026-08-15,#009,8,5:25 AM,4:11 PM,12.9,12.9,False,False,103,amber,1:00 PM,6.3,5.3,True,
2026-08-15,#10,11,3:40 AM,10:51 PM,20.1,17.6,True,True,65,amber,12:00 PM,7.5,11.8,True,
2026-08-15,#11,10,7:00 AM,11:44 PM,17.7,15.4,True,True,96,amber,1:00 PM,3.7,11.7,True,
2026-08-15,#12,6,9:00 AM,5:00 PM,10.2,10.2,False,False,85,amber,11:00 AM,0.8,8.2,True,
2026-08-15,#13,8,5:00 AM,10:54 PM,18.6,14.1,True,True,274,green,10:54 PM,13.3,0.7,True,
2026-08-15,#14,9,8:00 AM,8:54 PM,14.7,14.7,True,False,144,green,8:54 PM,11.0,1.8,True,
2026-08-15,#15,10,8:00 AM,5:59 PM,11.7,11.7,False,False,0,,,,,False,no gap on this car clears the wash/fuel/base chain
2026-08-15,#16,6,8:00 AM,6:30 PM,11.1,11.1,False,False,74,amber,11:38 AM,3.3,7.4,True,
2026-08-15,#17,8,8:00 AM,5:00 PM,10.8,10.8,False,False,0,,,,,False,no gap on this car clears the wash/fuel/base chain
2026-08-16,#001,6,8:00 AM,3:21 PM,9.1,9.1,False,False,0,,,,,False,no gap on this car clears the wash/fuel/base chain
2026-08-16,#002,7,6:20 AM,6:15 PM,13.7,13.7,True,False,158,green,6:15 PM,10.1,1.8,True,
2026-08-16,#003,7,7:45 AM,6:45 PM,11.6,11.6,False,False,129,amber,5:25 PM,8.0,1.9,True,
2026-08-16,#004,5,4:30 AM,1:22 PM,10.7,8.4,False,False,130,green,7:15 AM,0.5,7.9,True,
2026-08-16,#005,9,8:00 AM,8:50 PM,14.6,14.6,True,False,115,amber,6:32 PM,9.1,4.0,True,
2026-08-16,#006,6,9:00 AM,6:00 PM,9.6,9.6,False,False,124,amber,6:00 PM,7.4,0.6,True,
2026-08-16,#007,8,5:30 AM,6:00 PM,13.1,13.1,False,False,115,green,8:00 AM,0.5,10.6,True,
2026-08-16,#009,9,5:45 AM,6:30 PM,13.3,13.3,False,False,101,amber,5:00 PM,10.0,2.0,True,
2026-08-16,#10,7,5:45 AM,4:35 PM,12.5,9.7,False,False,170,green,9:10 AM,0.5,9.1,True,
2026-08-16,#11,9,4:45 AM,2:54 PM,12.3,12.3,False,False,85,amber,8:00 AM,1.8,9.0,True,
2026-08-16,#12,6,8:15 AM,4:04 PM,9.5,9.5,False,False,86,amber,4:04 PM,7.0,1.7,True,
