date,trips,off_kept,off_cov,off_conflicts,off_over_13_5,off_late_chains,off_late_any,on_late_any,on_kept,on_cov,on_conflicts,on_over_13_5,on_late_chains,trips_delta,late_chain_delta
2026-08-03,104,85,81.7,0,2,7,10,6,82,78.8,0,1,0,-3,-7
2026-08-13,103,96,93.2,0,2,9,20,8,93,90.3,0,3,0,-3,-9
2026-08-14,117,105,89.7,0,2,11,24,9,99,84.6,0,1,0,-6,-11
2026-08-15,155,133,85.8,0,5,18,41,19,127,81.9,0,2,0,-6,-18
2026-08-16,155,118,76.1,0,4,12,25,18,116,74.8,0,4,0,-2,-12
2026-08-17,116,104,89.7,0,1,6,19,11,102,87.9,0,0,0,-2,-6
2026-08-18,88,82,93.2,0,0,3,9,6,81,92.0,0,0,0,-1,-3
2026-08-19,72,70,97.2,0,0,3,7,6,69,95.8,0,0,0,-1,-3
2026-08-20,80,76,95.0,0,0,8,10,3,74,92.5,0,0,0,-2,-8
2026-08-21,122,104,85.2,0,4,6,12,5,102,83.6,0,2,0,-2,-6
2026-08-22,186,154,82.8,0,2,24,45,18,142,76.3,0,5,1,-12,-23
