estimates,kind,severity,basis,unique_cards,cards_per_day,pct_with_plans,scored,pct_single_leg,unscorable,pct_late_15,pct_late_10,pct_late_any,scored_multileg,pct_late_15_multileg
masked,late_cascade,critical,clock_only,289,10.3,57.4,195,41.5,94,59.5,63.1,70.8,129,40.3
live,late_cascade,critical,clock_only,280,10.0,57.5,187,41.1,93,62.0,65.2,74.3,125,43.2
masked,overlap,critical,recorded_pickup,267,9.5,95.5,246,0.0,21,31.7,37.0,59.8,246,31.7
live,overlap,critical,recorded_pickup,257,9.2,95.7,238,0.0,19,32.4,37.4,59.7,238,32.4
live,flight_change,critical,flight,241,8.6,87.6,213,0.0,28,24.9,31.0,46.0,213,24.9
masked,flight_change,critical,flight,231,8.2,91.3,199,0.0,32,24.6,31.2,46.2,199,24.6
masked,overlap,warning,recorded_pickup,141,5.0,69.5,136,0.0,5,24.3,26.5,44.9,136,24.3
live,overlap,warning,recorded_pickup,134,4.8,64.2,129,0.0,5,24.0,25.6,45.0,129,24.0
masked,late_cascade,watch,clock_only,97,3.5,0.0,81,100.0,16,56.8,61.7,71.6,0,
live,late_cascade,watch,clock_only,88,3.1,0.0,74,100.0,14,60.8,64.9,73.0,0,
live,flight_change,warning,flight,57,2.0,70.2,51,100.0,6,23.5,37.3,54.9,0,
live,overrun,warning,recorded_pickup,57,2.0,91.2,55,100.0,2,47.3,52.7,61.8,0,
masked,overrun,warning,recorded_pickup,57,2.0,94.7,55,100.0,2,47.3,52.7,61.8,0,
masked,flight_change,warning,flight,50,1.8,76.0,45,100.0,5,22.2,37.8,51.1,0,
masked,unassigned,warning,clock_only,42,1.5,61.9,32,100.0,10,28.1,37.5,56.2,0,
live,unassigned,warning,clock_only,41,1.5,58.5,31,100.0,10,29.0,38.7,58.1,0,
live,overlap,critical,clock_only,35,1.2,100.0,33,0.0,2,39.4,45.5,54.5,33,39.4
masked,overlap,critical,clock_only,32,1.1,100.0,29,0.0,3,34.5,41.4,48.3,29,34.5
masked,unassigned,critical,clock_only,28,1.0,100.0,18,100.0,10,50.0,50.0,66.7,0,
live,unassigned,critical,clock_only,27,1.0,100.0,17,100.0,10,47.1,47.1,64.7,0,
masked,overrun,critical,recorded_pickup,17,0.6,100.0,15,0.0,2,60.0,66.7,80.0,15,60.0
live,overrun,critical,recorded_pickup,15,0.5,93.3,14,0.0,1,50.0,57.1,78.6,14,50.0
