date,tick,estimates,ms,cards,error
2026-07-24,23:00,live,55,0,
2026-07-24,22:45,live,30,2,
2026-07-24,22:30,live,30,1,
2026-07-24,22:15,live,51,0,
2026-07-24,22:00,live,29,0,
2026-07-24,21:45,live,30,0,
2026-07-24,21:30,live,30,0,
2026-07-24,21:15,live,30,0,
2026-07-24,21:00,live,52,0,
2026-07-24,20:45,live,30,0,
2026-07-24,20:30,live,30,1,
2026-07-24,20:15,live,30,0,
2026-07-24,20:00,live,31,0,
2026-07-24,19:45,live,44,1,
2026-07-24,19:30,live,64,1,
2026-07-24,19:15,live,40,1,
2026-07-24,19:00,live,41,1,
2026-07-24,18:45,live,31,0,
2026-07-24,18:30,live,31,0,
2026-07-24,18:15,live,52,0,
2026-07-24,18:00,live,31,0,
2026-07-24,17:45,live,31,0,
2026-07-24,17:30,live,31,0,
2026-07-24,17:15,live,31,0,
2026-07-24,17:00,live,53,0,
2026-07-24,16:45,live,31,0,
2026-07-24,16:30,live,31,0,
2026-07-24,16:15,live,31,1,
2026-07-24,16:00,live,32,1,
2026-07-24,15:45,live,54,1,
2026-07-24,15:30,live,31,1,
2026-07-24,15:15,live,32,0,
2026-07-24,15:00,live,62,1,
2026-07-24,14:45,live,60,1,
2026-07-24,14:30,live,82,2,
2026-07-24,14:15,live,60,1,
2026-07-24,14:00,live,60,1,
2026-07-24,13:45,live,60,1,
2026-07-24,13:30,live,60,1,
2026-07-24,13:15,live,60,2,
2026-07-24,13:00,live,84,1,
2026-07-24,12:45,live,60,1,
2026-07-24,12:30,live,66,2,
2026-07-24,12:15,live,60,2,
2026-07-24,12:00,live,60,2,
2026-07-24,11:45,live,83,3,
2026-07-24,11:30,live,62,2,
2026-07-24,11:15,live,62,2,
2026-07-24,11:00,live,61,2,
2026-07-24,10:45,live,105,3,
2026-07-24,10:30,live,85,3,
2026-07-24,10:15,live,61,3,
2026-07-24,10:00,live,61,4,
2026-07-24,09:45,live,125,4,
2026-07-24,09:30,live,135,5,
2026-07-24,09:15,live,150,3,
2026-07-24,09:00,live,175,3,
2026-07-24,08:45,live,152,3,
2026-07-24,08:30,live,152,3,
2026-07-24,08:15,live,153,3,
2026-07-24,08:00,live,81,2,
2026-07-24,07:45,live,103,2,
2026-07-24,07:30,live,225,4,
2026-07-24,07:15,live,145,3,
2026-07-24,07:00,live,42,2,
2026-07-24,06:45,live,42,2,
2026-07-24,06:30,live,63,2,
2026-07-24,06:15,live,42,2,
2026-07-24,06:00,live,41,1,
2026-07-24,23:00,masked,31,0,
2026-07-24,22:45,masked,30,2,
2026-07-24,22:30,masked,52,1,
2026-07-24,22:15,masked,31,0,
2026-07-24,22:00,masked,30,0,
2026-07-24,21:45,masked,30,0,
2026-07-24,21:30,masked,30,1,
2026-07-24,21:15,masked,30,1,
2026-07-24,21:00,masked,54,1,
2026-07-24,20:45,masked,30,1,
2026-07-24,20:30,masked,30,1,
2026-07-24,20:15,masked,30,0,
2026-07-24,20:00,masked,30,0,
2026-07-24,19:45,masked,62,1,
2026-07-24,19:30,masked,41,1,
2026-07-24,19:15,masked,41,1,
2026-07-24,19:00,masked,41,1,
2026-07-24,18:45,masked,31,0,
2026-07-24,18:30,masked,55,0,
2026-07-24,18:15,masked,31,0,
2026-07-24,18:00,masked,31,0,
2026-07-24,17:45,masked,31,0,
2026-07-24,17:30,masked,31,0,
2026-07-24,17:15,masked,53,0,
2026-07-24,17:00,masked,32,0,
2026-07-24,16:45,masked,32,0,
2026-07-24,16:30,masked,31,0,
2026-07-24,16:15,masked,32,1,
2026-07-24,16:00,masked,56,1,
2026-07-24,15:45,masked,32,1,
2026-07-24,15:30,masked,32,1,
2026-07-24,15:15,masked,32,0,
2026-07-24,15:00,masked,38,1,
2026-07-24,14:45,masked,37,1,
2026-07-24,14:30,masked,61,2,
2026-07-24,14:15,masked,37,1,
2026-07-24,14:00,masked,38,1,
2026-07-24,13:45,masked,38,1,
2026-07-24,13:30,masked,38,1,
2026-07-24,13:15,masked,60,2,
2026-07-24,13:00,masked,50,1,
2026-07-24,12:45,masked,49,1,
2026-07-24,12:30,masked,51,2,
2026-07-24,12:15,masked,49,2,
2026-07-24,12:00,masked,72,2,
2026-07-24,11:45,masked,50,3,
2026-07-24,11:30,masked,39,2,
2026-07-24,11:15,masked,40,2,
2026-07-24,11:00,masked,38,2,
2026-07-24,10:45,masked,76,3,
2026-07-24,10:30,masked,189,3,
2026-07-24,10:15,masked,39,3,
2026-07-24,10:00,masked,39,4,
2026-07-24,09:45,masked,110,4,
2026-07-24,09:30,masked,122,5,
2026-07-24,09:15,masked,159,3,
2026-07-24,09:00,masked,141,3,
2026-07-24,08:45,masked,140,3,
2026-07-24,08:30,masked,140,3,
2026-07-24,08:15,masked,141,3,
2026-07-24,08:00,masked,66,2,
2026-07-24,07:45,masked,88,2,
2026-07-24,07:30,masked,243,4,
2026-07-24,07:15,masked,81,2,
2026-07-24,07:00,masked,44,2,
2026-07-24,06:45,masked,43,2,
2026-07-24,06:30,masked,64,2,
2026-07-24,06:15,masked,43,2,
2026-07-24,06:00,masked,41,1,
2026-07-25,23:00,live,51,0,
2026-07-25,22:45,live,36,0,
2026-07-25,22:30,live,59,0,
2026-07-25,22:15,live,36,0,
2026-07-25,22:00,live,35,0,
2026-07-25,21:45,live,36,0,
2026-07-25,21:30,live,58,0,
2026-07-25,21:15,live,36,0,
2026-07-25,21:00,live,36,0,
2026-07-25,20:45,live,35,0,
2026-07-25,20:30,live,37,0,
2026-07-25,20:15,live,60,0,
2026-07-25,20:00,live,36,1,
2026-07-25,19:45,live,36,1,
2026-07-25,19:30,live,36,1,
2026-07-25,19:15,live,58,1,
2026-07-25,19:00,live,36,1,
2026-07-25,18:45,live,36,1,
2026-07-25,18:30,live,36,0,
2026-07-25,18:15,live,58,0,
2026-07-25,18:00,live,36,0,
2026-07-25,17:45,live,36,0,
2026-07-25,17:30,live,36,0,
2026-07-25,17:15,live,69,1,
2026-07-25,17:00,live,88,1,
2026-07-25,16:45,live,65,1,
2026-07-25,16:30,live,66,1,
2026-07-25,16:15,live,106,3,
2026-07-25,16:00,live,101,2,
2026-07-25,15:45,live,79,3,
2026-07-25,15:30,live,90,4,
2026-07-25,15:15,live,88,4,
2026-07-25,15:00,live,110,3,
2026-07-25,14:45,live,410,6,
2026-07-25,14:30,live,394,7,
2026-07-25,14:15,live,249,7,
2026-07-25,14:00,live,112,5,
2026-07-25,13:45,live,161,6,
2026-07-25,13:30,live,241,8,
2026-07-25,13:15,live,271,7,
2026-07-25,13:00,live,193,7,
2026-07-25,12:45,live,187,7,
2026-07-25,12:30,live,173,6,
2026-07-25,12:15,live,308,8,
2026-07-25,12:00,live,478,9,
2026-07-25,11:45,live,465,7,
2026-07-25,11:30,live,398,6,
2026-07-25,11:15,live,416,9,
2026-07-25,11:00,live,384,11,
2026-07-25,10:45,live,350,9,
2026-07-25,10:30,live,324,10,
2026-07-25,10:15,live,394,9,
2026-07-25,10:00,live,341,9,
2026-07-25,09:45,live,351,8,
2026-07-25,09:30,live,282,8,
2026-07-25,09:15,live,288,8,
2026-07-25,09:00,live,273,9,
2026-07-25,08:45,live,316,8,
2026-07-25,08:30,live,398,8,
2026-07-25,08:15,live,347,8,
2026-07-25,08:00,live,309,7,
2026-07-25,07:45,live,455,8,
2026-07-25,07:30,live,473,9,
2026-07-25,07:15,live,565,10,
2026-07-25,07:00,live,560,10,
2026-07-25,06:45,live,446,9,
2026-07-25,06:30,live,283,8,
2026-07-25,06:15,live,308,8,
2026-07-25,06:00,live,292,8,
2026-07-25,23:00,masked,37,0,
2026-07-25,22:45,masked,36,0,
2026-07-25,22:30,masked,58,0,
2026-07-25,22:15,masked,36,0,
2026-07-25,22:00,masked,36,0,
2026-07-25,21:45,masked,35,0,
2026-07-25,21:30,masked,59,0,
2026-07-25,21:15,masked,36,0,
2026-07-25,21:00,masked,36,0,
2026-07-25,20:45,masked,36,0,
2026-07-25,20:30,masked,59,0,
2026-07-25,20:15,masked,36,0,
2026-07-25,20:00,masked,36,1,
2026-07-25,19:45,masked,36,1,
2026-07-25,19:30,masked,35,1,
2026-07-25,19:15,masked,66,1,
2026-07-25,19:00,masked,37,1,
2026-07-25,18:45,masked,36,1,
2026-07-25,18:30,masked,36,0,
2026-07-25,18:15,masked,59,0,
2026-07-25,18:00,masked,35,0,
2026-07-25,17:45,masked,36,0,
2026-07-25,17:30,masked,36,0,
2026-07-25,17:15,masked,90,1,
2026-07-25,17:00,masked,65,1,
2026-07-25,16:45,masked,65,1,
2026-07-25,16:30,masked,66,1,
2026-07-25,16:15,masked,92,2,
2026-07-25,16:00,masked,91,2,
2026-07-25,15:45,masked,66,3,
2026-07-25,15:30,masked,75,3,
2026-07-25,15:15,masked,75,3,
2026-07-25,15:00,masked,99,2,
2026-07-25,14:45,masked,381,5,
2026-07-25,14:30,masked,400,6,
2026-07-25,14:15,masked,264,6,
2026-07-25,14:00,masked,89,4,
2026-07-25,13:45,masked,149,5,
2026-07-25,13:30,masked,237,8,
2026-07-25,13:15,masked,274,7,
2026-07-25,13:00,masked,193,7,
2026-07-25,12:45,masked,188,7,
2026-07-25,12:30,masked,173,6,
2026-07-25,12:15,masked,279,8,
2026-07-25,12:00,masked,479,9,
2026-07-25,11:45,masked,469,7,
2026-07-25,11:30,masked,399,6,
2026-07-25,11:15,masked,413,9,
2026-07-25,11:00,masked,380,11,
2026-07-25,10:45,masked,351,9,
2026-07-25,10:30,masked,323,10,
2026-07-25,10:15,masked,394,9,
2026-07-25,10:00,masked,337,9,
2026-07-25,09:45,masked,329,8,
2026-07-25,09:30,masked,305,8,
2026-07-25,09:15,masked,287,8,
2026-07-25,09:00,masked,272,9,
2026-07-25,08:45,masked,316,8,
2026-07-25,08:30,masked,396,8,
2026-07-25,08:15,masked,349,8,
2026-07-25,08:00,masked,310,7,
2026-07-25,07:45,masked,456,8,
2026-07-25,07:30,masked,477,9,
2026-07-25,07:15,masked,565,10,
2026-07-25,07:00,masked,571,10,
2026-07-25,06:45,masked,448,9,
2026-07-25,06:30,masked,285,8,
2026-07-25,06:15,masked,310,8,
2026-07-25,06:00,masked,292,8,
2026-07-26,23:00,live,45,0,
2026-07-26,22:45,live,36,0,
2026-07-26,22:30,live,58,0,
2026-07-26,22:15,live,36,0,
2026-07-26,22:00,live,35,0,
2026-07-26,21:45,live,36,0,
2026-07-26,21:30,live,59,1,
2026-07-26,21:15,live,36,1,
2026-07-26,21:00,live,36,1,
2026-07-26,20:45,live,36,1,
2026-07-26,20:30,live,36,0,
2026-07-26,20:15,live,61,0,
2026-07-26,20:00,live,36,0,
2026-07-26,19:45,live,36,0,
2026-07-26,19:30,live,36,1,
2026-07-26,19:15,live,59,1,
2026-07-26,19:00,live,36,0,
2026-07-26,18:45,live,36,1,
2026-07-26,18:30,live,36,1,
2026-07-26,18:15,live,59,1,
2026-07-26,18:00,live,37,0,
2026-07-26,17:45,live,37,1,
2026-07-26,17:30,live,36,1,
2026-07-26,17:15,live,60,1,
2026-07-26,17:00,live,38,1,
2026-07-26,16:45,live,37,1,
2026-07-26,16:30,live,38,1,
2026-07-26,16:15,live,37,1,
2026-07-26,16:00,live,63,1,
2026-07-26,15:45,live,37,1,
2026-07-26,15:30,live,38,1,
2026-07-26,15:15,live,37,1,
2026-07-26,15:00,live,182,2,
2026-07-26,14:45,live,152,2,
2026-07-26,14:30,live,48,3,
2026-07-26,14:15,live,49,3,
2026-07-26,14:00,live,72,3,
2026-07-26,13:45,live,137,6,
2026-07-26,13:30,live,109,6,
2026-07-26,13:15,live,50,5,
2026-07-26,13:00,live,194,6,
2026-07-26,12:45,live,246,7,
2026-07-26,12:30,live,329,7,
2026-07-26,12:15,live,328,8,
2026-07-26,12:00,live,329,7,
2026-07-26,11:45,live,490,8,
