date,legs,pairs,unjudgeable,fixed_time_pairs,pairs_clock_differs,band_flips,clean_or_tight_but_negative,worst_delta_min
2026-07-24,79,63,0,32,26,2,0,38
2026-07-25,104,89,0,54,51,18,11,85
2026-07-26,92,77,0,43,37,11,9,27
2026-07-27,70,56,0,31,31,6,3,22
2026-07-28,55,42,0,22,22,1,1,22
2026-07-29,63,50,0,20,18,3,0,38
2026-07-30,71,55,0,20,18,1,0,10
2026-07-31,89,71,0,37,31,5,1,57
2026-08-01,117,102,0,57,50,17,8,33
2026-08-02,91,76,0,37,32,6,3,27
2026-08-03,87,71,0,36,30,8,5,25
2026-08-04,74,61,0,24,21,5,0,25
2026-08-05,88,74,0,32,30,10,6,57
2026-08-06,75,59,0,22,19,6,4,22
2026-08-07,96,79,0,47,41,16,8,22
2026-08-08,116,101,0,60,52,25,15,27
2026-08-09,90,75,0,39,35,7,3,27
2026-08-10,90,74,0,45,36,14,8,22
2026-08-11,71,57,0,24,24,6,3,22
2026-08-12,79,65,0,27,25,5,1,22
2026-08-13,96,79,0,37,35,10,4,25
2026-08-14,99,83,0,50,47,9,5,38
2026-08-15,131,113,0,56,53,22,14,55
2026-08-16,114,97,0,49,46,18,13,31
2026-08-17,97,80,0,42,38,7,3,22
2026-08-18,80,65,0,33,29,4,4,38
2026-08-19,68,53,0,26,24,8,3,25
2026-08-20,76,58,0,25,24,11,7,22
