date,tasks,legs_flagged,legs,pct_legs_flagged,pct_moved,pct_wasted_look
2026-07-25,42,27,125,21.6,19.4,77.8
2026-07-26,59,43,126,34.1,28.6,51.8
2026-07-27,30,18,74,24.3,11.5,88.5
2026-07-28,10,7,55,12.7,22.2,66.7
2026-07-29,13,8,65,12.3,25.0,75.0
2026-07-30,46,26,85,30.6,35.7,59.5
2026-07-31,30,20,114,17.5,44.8,20.7
2026-08-01,140,70,167,41.9,31.2,68.0
2026-08-02,65,42,127,33.1,26.3,49.1
2026-08-03,30,22,104,21.2,42.9,57.1
2026-08-04,63,29,83,34.9,15.5,82.8
2026-08-05,69,34,102,33.3,14.9,41.8
2026-08-06,81,42,97,43.3,26.0,59.7
2026-08-07,80,44,124,35.5,25.0,71.1
2026-08-08,94,55,167,32.9,29.9,69.0
2026-08-09,43,29,139,20.9,33.3,46.2
2026-08-10,45,36,112,32.1,33.3,57.1
2026-08-11,67,42,83,50.6,43.8,45.3
2026-08-12,55,31,89,34.8,11.5,82.7
2026-08-13,76,41,103,39.8,13.5,77.0
2026-08-14,121,57,117,48.7,17.6,78.2
2026-08-15,118,66,155,42.6,25.7,62.8
2026-08-16,93,66,155,42.6,21.4,69.0
2026-08-17,77,41,116,35.3,25.7,71.4
2026-08-18,36,20,88,22.7,2.9,97.1
2026-08-19,34,21,72,29.2,32.3,51.6
2026-08-20,54,33,80,41.2,28.0,56.0
2026-08-21,48,35,122,28.7,18.6,72.1
