month,outcome,tasks,pct
2026-08,MOVED,341,22.9
2026-08,RETIMED,67,4.5
2026-08,NO_MOVE,557,37.4
2026-08,HAND,362,24.3
2026-08,CANCELLED,66,4.4
2026-08,NO_NOTE_NO_USER,0,0.0
2026-08,OTHER,1,0.1
2026-08,ESCALATED,95,6.4
2026-07,MOVED,250,21.6
2026-07,RETIMED,13,1.1
2026-07,NO_MOVE,488,42.2
2026-07,HAND,241,20.8
2026-07,CANCELLED,58,5.0
2026-07,NO_NOTE_NO_USER,0,0.0
2026-07,OTHER,0,0.0
2026-07,ESCALATED,107,9.2
2026-06,MOVED,228,20.5
2026-06,RETIMED,15,1.4
2026-06,NO_MOVE,544,49.0
2026-06,HAND,181,16.3
2026-06,CANCELLED,0,0.0
2026-06,NO_NOTE_NO_USER,24,2.2
2026-06,OTHER,0,0.0
2026-06,ESCALATED,118,10.6
