warning_minutes,next_leg_ran_late,next_trip_type
100.0,0,arrival
77.0,0,return
55.0,0,return
55.0,0,return
112.0,1,return
150.0,0,arrival
62.0,1,cruise
40.0,1,arrival
100.0,1,arrival
100.0,1,arrival
130.0,0,arrival
85.0,0,return
55.0,0,return
137.0,0,arrival
60.0,0,return
82.0,0,return
15.0,1,arrival
85.0,1,arrival
100.0,0,arrival
55.0,0,return
55.0,0,return
79.0,0,return
125.0,0,arrival
82.0,0,return
80.0,0,return
80.0,1,cruise
95.0,1,return
50.0,1,cruise
139.0,1,return
55.0,1,return
70.0,0,return
15.0,1,arrival
105.0,0,arrival
84.0,0,return
82.0,0,return
85.0,0,arrival
111.0,0,return
150.0,0,arrival
15.0,0,arrival
125.0,0,arrival
100.0,0,arrival
55.0,0,return
55.0,0,return
115.0,0,arrival
122.0,0,arrival
55.0,0,return
51.0,0,other
80.0,0,return
82.0,0,return
100.0,0,arrival
80.0,1,return
55.0,0,return
115.0,0,arrival
82.0,0,return
100.0,0,arrival
100.0,0,cruise
95.0,0,other
51.0,1,return
88.0,1,return
82.0,0,return
15.0,0,arrival
55.0,0,return
83.0,0,return
45.0,1,arrival
150.0,0,arrival
15.0,1,arrival
100.0,0,arrival
77.0,0,return
48.0,0,arrival
167.0,0,return
32.0,1,arrival
32.0,0,return
15.0,1,arrival
85.0,0,arrival
81.0,0,return
100.0,0,arrival
100.0,0,arrival
37.0,0,arrival
50.0,0,return
125.0,0,arrival
15.0,0,arrival
125.0,0,arrival
125.0,1,arrival
84.0,0,return
73.0,0,return
85.0,1,arrival
90.0,0,arrival
104.0,0,return
100.0,0,arrival
125.0,0,cruise
125.0,0,arrival
107.0,0,return
125.0,0,arrival
18.0,0,return
130.0,1,arrival
100.0,1,arrival
100.0,0,arrival
125.0,0,arrival
82.0,1,arrival
100.0,1,arrival
82.0,0,return
125.0,1,arrival
82.0,0,return
82.0,0,return
55.0,0,return
82.0,1,return
55.0,0,return
75.0,0,cruise
81.0,0,return
55.0,1,cruise
122.0,1,arrival
82.0,0,return
55.0,0,return
15.0,1,arrival
167.0,0,return
125.0,1,arrival
100.0,0,arrival
55.0,0,return
80.0,0,cruise
84.0,0,return
37.0,1,cruise
100.0,1,arrival
80.0,0,return
15.0,0,arrival
55.0,0,return
81.0,0,return
117.0,1,return
115.0,0,arrival
103.0,0,return
103.0,0,return
55.0,1,return
85.0,0,return
15.0,0,arrival
82.0,0,return
107.0,0,return
82.0,0,return
82.0,0,return
80.0,1,return
15.0,1,arrival
100.0,1,arrival
107.0,1,return
100.0,1,arrival
55.0,0,return
70.0,0,return
100.0,0,arrival
79.0,0,return
15.0,1,arrival
100.0,1,arrival
150.0,1,arrival
125.0,0,arrival
55.0,1,return
15.0,1,arrival
50.0,1,return
130.0,0,arrival
130.0,0,arrival
98.0,0,other
100.0,0,arrival
120.0,0,cruise
115.0,0,return
107.0,0,return
50.0,0,return
110.0,1,arrival
55.0,0,return
80.0,0,cruise
125.0,0,arrival
100.0,0,arrival
107.0,0,return
125.0,0,arrival
93.0,0,return
82.0,1,return
100.0,0,arrival
110.0,0,cruise
50.0,0,arrival
100.0,0,arrival
107.0,0,return
58.0,0,return
100.0,0,arrival
100.0,0,arrival
70.0,0,return
82.0,0,return
73.0,0,return
100.0,0,arrival
77.0,0,return
130.0,1,arrival
82.0,0,return
125.0,0,arrival
15.0,1,arrival
82.0,0,return
100.0,1,arrival
125.0,1,arrival
