date,everything,under_way,near_60,near_120,near_180,under_way_or_near_60,under_way_or_near_120,under_way_or_near_180
2026-07-24,7071,2490,1515,2712,3552,3288,4302,5102
2026-07-25,7364,3064,2000,3343,4008,4097,5276,5924
2026-07-26,6908,2915,1729,3037,3806,3767,4844,5558
2026-07-27,6046,2039,1261,2295,2890,2701,3577,4151
2026-07-28,4975,1486,1003,1873,2548,2092,2895,3542
2026-07-29,5729,1931,1173,2219,2931,2530,3483,4192
2026-07-30,7257,2320,1249,2438,3267,2962,3995,4796
2026-07-31,7721,2905,1676,3093,3934,3799,5017,5837
2026-08-01,7627,2957,2315,3759,4519,4330,5693,6430
2026-08-02,6946,2761,1640,2931,3777,3632,4747,5531
2026-08-03,7095,2809,1544,2866,3621,3642,4843,5544
2026-08-04,5226,1950,1165,2158,2615,2576,3497,3954
2026-08-05,6764,2572,1761,2979,3639,3526,4607,5247
2026-08-06,6949,2288,1610,2879,3678,3222,4273,5005
2026-08-07,7564,2852,1736,3064,3818,3678,4869,5610
2026-08-08,7407,3005,2157,3474,4035,4203,5450,6011
2026-08-09,6319,2576,1608,2846,3532,3426,4509,5145
2026-08-10,5888,2647,1683,2869,3516,3474,4488,5088
2026-08-11,6026,1679,1402,2407,2896,2641,3625,4094
2026-08-12,6288,2128,1642,2766,3424,3132,4120,4740
2026-08-13,8155,2858,1789,3117,3931,3843,4981,5750
2026-08-14,7609,2845,1972,3347,4073,3906,5175,5893
2026-08-15,8403,3051,2481,4013,4662,4696,6152,6801
2026-08-16,7993,3217,2182,3573,4267,4560,5863,6535
2026-08-17,7590,2791,1825,3212,3940,3811,5097,5822
2026-08-18,6413,2009,1549,2687,3344,2954,4008,4665
2026-08-19,6053,2034,1211,2335,3012,2694,3710,4385
2026-08-20,6913,2081,1316,2489,3260,2843,3862,4618
