window,dow_num,dow,hour,legs,share_of_window,legs_per_occurrence_of_that_dow,n_days_of_that_dow,arrival,departure,other
CURRENT,0,Mon,0,0,0.0,0.0,4,0,0,0
CURRENT,0,Mon,1,0,0.0,0.0,4,0,0,0
CURRENT,0,Mon,2,0,0.0,0.0,4,0,0,0
CURRENT,0,Mon,3,3,0.000954,0.75,4,0,3,0
CURRENT,0,Mon,4,7,0.002226,1.75,4,0,7,0
CURRENT,0,Mon,5,16,0.005087,4.0,4,0,15,1
CURRENT,0,Mon,6,9,0.002862,2.25,4,1,7,1
CURRENT,0,Mon,7,21,0.006677,5.25,4,3,16,2
CURRENT,0,Mon,8,36,0.011447,9.0,4,12,19,5
CURRENT,0,Mon,9,58,0.018442,14.5,4,22,32,4
CURRENT,0,Mon,10,39,0.012401,9.75,4,24,11,4
CURRENT,0,Mon,11,48,0.015262,12.0,4,26,14,8
CURRENT,0,Mon,12,31,0.009857,7.75,4,16,12,3
CURRENT,0,Mon,13,25,0.007949,6.25,4,13,11,1
CURRENT,0,Mon,14,24,0.007631,6.0,4,15,8,1
CURRENT,0,Mon,15,15,0.004769,3.75,4,8,6,1
CURRENT,0,Mon,16,18,0.005723,4.5,4,9,9,0
CURRENT,0,Mon,17,19,0.006041,4.75,4,14,5,0
CURRENT,0,Mon,18,14,0.004452,3.5,4,7,7,0
CURRENT,0,Mon,19,11,0.003498,2.75,4,8,2,1
CURRENT,0,Mon,20,0,0.0,0.0,4,0,0,0
CURRENT,0,Mon,21,5,0.00159,1.25,4,3,0,2
CURRENT,0,Mon,22,2,0.000636,0.5,4,1,0,1
CURRENT,0,Mon,23,5,0.00159,1.25,4,5,0,0
CURRENT,1,Tue,0,0,0.0,0.0,4,0,0,0
CURRENT,1,Tue,1,2,0.000636,0.5,4,2,0,0
CURRENT,1,Tue,2,0,0.0,0.0,4,0,0,0
CURRENT,1,Tue,3,1,0.000318,0.25,4,1,0,0
CURRENT,1,Tue,4,3,0.000954,0.75,4,0,3,0
CURRENT,1,Tue,5,4,0.001272,1.0,4,0,4,0
CURRENT,1,Tue,6,4,0.001272,1.0,4,1,3,0
CURRENT,1,Tue,7,9,0.002862,2.25,4,2,7,0
CURRENT,1,Tue,8,22,0.006995,5.5,4,8,11,3
CURRENT,1,Tue,9,38,0.012083,9.5,4,23,11,4
CURRENT,1,Tue,10,41,0.013037,10.25,4,26,13,2
CURRENT,1,Tue,11,28,0.008903,7.0,4,20,6,2
CURRENT,1,Tue,12,28,0.008903,7.0,4,17,11,0
CURRENT,1,Tue,13,24,0.007631,6.0,4,12,11,1
CURRENT,1,Tue,14,19,0.006041,4.75,4,8,11,0
CURRENT,1,Tue,15,24,0.007631,6.0,4,14,9,1
CURRENT,1,Tue,16,18,0.005723,4.5,4,9,9,0
CURRENT,1,Tue,17,15,0.004769,3.75,4,7,7,1
