dow_idx,dow,hour,assigned_legs,farmed_legs,farmout_share_pct,assigned_legs_per_week
0,Mon,0,3,0,0.0,0.135
0,Mon,1,1,0,0.0,0.045
0,Mon,2,1,0,0.0,0.045
0,Mon,3,13,0,0.0,0.583
0,Mon,4,32,0,0.0,1.436
0,Mon,5,41,1,2.44,1.84
0,Mon,6,55,2,3.64,2.468
0,Mon,7,116,6,5.17,5.205
0,Mon,8,173,36,20.81,7.763
0,Mon,9,238,57,23.95,10.679
0,Mon,10,159,40,25.16,7.135
0,Mon,11,184,28,15.22,8.256
0,Mon,12,144,19,13.19,6.462
0,Mon,13,135,11,8.15,6.058
0,Mon,14,128,10,7.81,5.744
0,Mon,15,89,1,1.12,3.994
0,Mon,16,93,2,2.15,4.173
0,Mon,17,72,8,11.11,3.231
0,Mon,18,47,2,4.26,2.109
0,Mon,19,40,6,15.0,1.795
0,Mon,20,13,1,7.69,0.583
0,Mon,21,18,0,0.0,0.808
0,Mon,22,10,2,20.0,0.449
0,Mon,23,12,1,8.33,0.538
1,Tue,0,4,0,0.0,0.179
1,Tue,1,3,1,33.33,0.135
1,Tue,2,1,0,0.0,0.045
1,Tue,3,9,0,0.0,0.404
1,Tue,4,14,0,0.0,0.628
1,Tue,5,24,0,0.0,1.077
1,Tue,6,53,0,0.0,2.378
1,Tue,7,63,0,0.0,2.827
1,Tue,8,105,7,6.67,4.712
1,Tue,9,154,15,9.74,6.91
1,Tue,10,138,16,11.59,6.192
1,Tue,11,127,12,9.45,5.699
1,Tue,12,120,2,1.67,5.385
1,Tue,13,100,3,3.0,4.487
1,Tue,14,96,3,3.12,4.308
1,Tue,15,84,4,4.76,3.769
1,Tue,16,59,3,5.08,2.647
1,Tue,17,52,1,1.92,2.333
1,Tue,18,46,1,2.17,2.064
1,Tue,19,31,4,12.9,1.391
1,Tue,20,24,1,4.17,1.077
1,Tue,21,19,2,10.53,0.853
1,Tue,22,15,1,6.67,0.673
1,Tue,23,18,2,11.11,0.808
2,Wed,0,2,1,50.0,0.09
2,Wed,2,1,1,100.0,0.045
2,Wed,3,4,0,0.0,0.179
2,Wed,4,25,0,0.0,1.122
2,Wed,5,20,0,0.0,0.897
2,Wed,6,36,0,0.0,1.615
2,Wed,7,72,0,0.0,3.231
2,Wed,8,158,26,16.46,7.09
2,Wed,9,202,35,17.33,9.064
2,Wed,10,152,18,11.84,6.821
2,Wed,11,140,18,12.86,6.282
2,Wed,12,122,10,8.2,5.474
2,Wed,13,139,11,7.91,6.237
2,Wed,14,89,4,4.49,3.994
2,Wed,15,85,6,7.06,3.814
2,Wed,16,97,4,4.12,4.353
2,Wed,17,87,5,5.75,3.904
2,Wed,18,49,0,0.0,2.199
2,Wed,19,46,4,8.7,2.064
2,Wed,20,31,3,9.68,1.391
2,Wed,21,17,1,5.88,0.763
2,Wed,22,19,3,15.79,0.853
2,Wed,23,21,7,33.33,0.942
3,Thu,0,4,1,25.0,0.179
3,Thu,1,4,0,0.0,0.179
3,Thu,2,2,1,50.0,0.09
3,Thu,3,9,0,0.0,0.404
3,Thu,4,27,0,0.0,1.212
3,Thu,5,42,0,0.0,1.885
3,Thu,6,49,1,2.04,2.199
3,Thu,7,70,3,4.29,3.141
3,Thu,8,134,9,6.72,6.013
3,Thu,9,229,44,19.21,10.276
3,Thu,10,163,27,16.56,7.314
3,Thu,11,164,15,9.15,7.359
3,Thu,12,109,11,10.09,4.891
3,Thu,13,135,12,8.89,6.058
3,Thu,14,94,8,8.51,4.218
3,Thu,15,125,13,10.4,5.609
3,Thu,16,97,7,7.22,4.353
3,Thu,17,82,3,3.66,3.679
3,Thu,18,71,8,11.27,3.186
3,Thu,19,50,3,6.0,2.244
3,Thu,20,46,6,13.04,2.064
3,Thu,21,27,2,7.41,1.212
3,Thu,22,29,3,10.34,1.301
3,Thu,23,30,4,13.33,1.346
4,Fri,0,8,3,37.5,0.359
4,Fri,1,3,2,66.67,0.135
4,Fri,2,1,0,0.0,0.045
4,Fri,3,17,2,11.76,0.763
4,Fri,4,48,1,2.08,2.154
4,Fri,5,40,1,2.5,1.795
4,Fri,6,68,1,1.47,3.051
4,Fri,7,126,7,5.56,5.654
4,Fri,8,249,92,36.95,11.173
4,Fri,9,354,146,41.24,15.885
4,Fri,10,209,53,25.36,9.378
4,Fri,11,206,42,20.39,9.244
4,Fri,12,147,24,16.33,6.596
4,Fri,13,152,34,22.37,6.821
4,Fri,14,130,18,13.85,5.833
4,Fri,15,131,11,8.4,5.878
4,Fri,16,126,13,10.32,5.654
4,Fri,17,113,18,15.93,5.071
4,Fri,18,87,10,11.49,3.904
4,Fri,19,73,10,13.7,3.276
4,Fri,20,47,6,12.77,2.109
4,Fri,21,35,3,8.57,1.571
4,Fri,22,24,6,25.0,1.077
4,Fri,23,33,14,42.42,1.481
5,Sat,0,4,3,75.0,0.179
5,Sat,2,1,0,0.0,0.045
5,Sat,3,19,0,0.0,0.853
5,Sat,4,41,4,9.76,1.84
5,Sat,5,74,3,4.05,3.321
5,Sat,6,109,4,3.67,4.891
5,Sat,7,138,16,11.59,6.192
5,Sat,8,258,81,31.4,11.577
5,Sat,9,361,152,42.11,16.199
5,Sat,10,284,118,41.55,12.744
5,Sat,11,286,103,36.01,12.833
5,Sat,12,255,98,38.43,11.442
5,Sat,13,251,77,30.68,11.263
5,Sat,14,196,51,26.02,8.795
5,Sat,15,160,31,19.38,7.179
5,Sat,16,139,21,15.11,6.237
5,Sat,17,102,11,10.78,4.577
5,Sat,18,94,13,13.83,4.218
5,Sat,19,55,13,23.64,2.468
5,Sat,20,45,9,20.0,2.019
5,Sat,21,28,7,25.0,1.256
