month,live_legs,assigned_legs,affiliate_legs,inhouse_legs,farmout_share_pct,affiliate_pay_usd,inhouse_pay_usd,completeness
2025-04,3,3,3,0,100.0,230.0,0,complete
2025-05,38,36,25,11,69.44,1824.97,290.0,complete
2025-06,64,62,48,14,77.42,4193.0,64.99,complete
2025-07,148,146,110,36,75.34,10748.0,27.97,complete
2025-08,322,315,226,89,71.75,20191.0,78.0,complete
2025-09,464,455,281,174,61.76,24626.0,983.0,complete
2025-10,739,734,297,437,40.46,27805.62,6546.0,complete
2025-11,1004,995,313,682,31.46,29531.45,16065.95,complete
2025-12,1164,1131,369,762,32.63,35172.85,24029.1,complete
2026-01,1462,1455,445,1010,30.58,38864.28,35905.05,complete
2026-02,1972,1965,523,1442,26.62,51030.28,54770.32,complete
2026-03,2603,2600,717,1883,27.58,79216.62,72043.2,complete
2026-04,2720,2720,615,2105,22.61,67008.15,81912.61,complete
2026-05,2858,2856,604,2252,21.15,62794.26,84455.38,complete
2026-06,2731,2730,384,2346,14.07,41235.59,90508.88,complete
2026-07,2714,2713,358,2355,13.2,39649.98,89465.69,complete
2026-08,2402,2401,460,1941,19.16,50648.71,71697.13,partial
