window,pickup_bucket,dropoff_bucket,legs,share
CURRENT,MCO,MCO,0,0.0
CURRENT,MCO,SFB,0,0.0
CURRENT,MCO,PORT,53,0.016852
CURRENT,MCO,DISNEY,1242,0.394913
CURRENT,MCO,UNIVERSAL,73,0.023211
CURRENT,MCO,OTHER,154,0.048967
CURRENT,SFB,MCO,0,0.0
CURRENT,SFB,SFB,0,0.0
CURRENT,SFB,PORT,0,0.0
CURRENT,SFB,DISNEY,52,0.016534
CURRENT,SFB,UNIVERSAL,2,0.000636
CURRENT,SFB,OTHER,10,0.00318
CURRENT,PORT,MCO,151,0.048013
CURRENT,PORT,SFB,1,0.000318
CURRENT,PORT,PORT,1,0.000318
CURRENT,PORT,DISNEY,26,0.008267
CURRENT,PORT,UNIVERSAL,6,0.001908
CURRENT,PORT,OTHER,22,0.006995
CURRENT,DISNEY,MCO,995,0.316375
CURRENT,DISNEY,SFB,44,0.01399
CURRENT,DISNEY,PORT,40,0.012719
CURRENT,DISNEY,DISNEY,5,0.00159
CURRENT,DISNEY,UNIVERSAL,15,0.004769
CURRENT,DISNEY,OTHER,17,0.005405
CURRENT,UNIVERSAL,MCO,53,0.016852
CURRENT,UNIVERSAL,SFB,0,0.0
CURRENT,UNIVERSAL,PORT,4,0.001272
CURRENT,UNIVERSAL,DISNEY,13,0.004134
CURRENT,UNIVERSAL,UNIVERSAL,0,0.0
CURRENT,UNIVERSAL,OTHER,4,0.001272
CURRENT,OTHER,MCO,81,0.025755
CURRENT,OTHER,SFB,4,0.001272
CURRENT,OTHER,PORT,30,0.009539
CURRENT,OTHER,DISNEY,23,0.007313
CURRENT,OTHER,UNIVERSAL,7,0.002226
CURRENT,OTHER,OTHER,17,0.005405
PRIOR,MCO,MCO,3,0.000261
PRIOR,MCO,SFB,0,0.0
PRIOR,MCO,PORT,177,0.015422
PRIOR,MCO,DISNEY,4291,0.373878
PRIOR,MCO,UNIVERSAL,260,0.022654
PRIOR,MCO,OTHER,620,0.054021
PRIOR,SFB,MCO,0,0.0
PRIOR,SFB,SFB,0,0.0
PRIOR,SFB,PORT,2,0.000174
PRIOR,SFB,DISNEY,213,0.018559
PRIOR,SFB,UNIVERSAL,8,0.000697
PRIOR,SFB,OTHER,26,0.002265
PRIOR,PORT,MCO,473,0.041213
PRIOR,PORT,SFB,9,0.000784
PRIOR,PORT,PORT,3,0.000261
PRIOR,PORT,DISNEY,103,0.008974
PRIOR,PORT,UNIVERSAL,27,0.002353
PRIOR,PORT,OTHER,58,0.005054
PRIOR,DISNEY,MCO,3620,0.315413
PRIOR,DISNEY,SFB,196,0.017078
PRIOR,DISNEY,PORT,122,0.01063
PRIOR,DISNEY,DISNEY,21,0.00183
PRIOR,DISNEY,UNIVERSAL,83,0.007232
PRIOR,DISNEY,OTHER,89,0.007755
PRIOR,UNIVERSAL,MCO,246,0.021434
PRIOR,UNIVERSAL,SFB,5,0.000436
PRIOR,UNIVERSAL,PORT,35,0.00305
PRIOR,UNIVERSAL,DISNEY,63,0.005489
PRIOR,UNIVERSAL,UNIVERSAL,0,0.0
PRIOR,UNIVERSAL,OTHER,34,0.002962
PRIOR,OTHER,MCO,379,0.033023
PRIOR,OTHER,SFB,24,0.002091
PRIOR,OTHER,PORT,111,0.009672
PRIOR,OTHER,DISNEY,93,0.008103
PRIOR,OTHER,UNIVERSAL,37,0.003224
PRIOR,OTHER,OTHER,46,0.004008
